North Dakota, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1617,-20
189612,1553,-84
189712,1710,73
189812,1678,41
189912,1645,8
190012,1514,-123
190112,1672,35
190212,1835,198
190312,1706,69
190412,1603,-34
190512,1584,-53
190612,1796,159
190712,1435,-202
190812,1602,-35
190912,1893,256
191012,1665,28
191112,1582,-55
191212,1467,-170
191312,1354,-283
191412,1868,231
191512,1569,-68
191612,1968,331
191712,2022,385
191812,1488,-149
191912,1820,183
192012,1580,-57
192112,1544,-93
192212,1809,172
192312,1378,-259
192412,1975,338
192512,1559,-78
192612,1781,144
192712,2109,472
192812,1392,-245
192912,1720,83
193012,1452,-185
193112,1431,-206
193212,1676,39
193312,1810,173
193412,1676,39
193512,1672,35
193612,1611,-26
193712,1722,85
193812,1515,-122
193912,1232,-405
194012,1464,-173
194112,1373,-264
194212,1748,111
194312,1405,-232
194412,1575,-62
194512,1847,210
194612,1645,8
194712,1640,3
194812,1734,97
194912,1796,159
195012,1769,132
195112,1874,237
195212,1474,-163
195312,1453,-184
195412,1357,-280
195512,1897,260
195612,1509,-128
195712,1366,-271
195812,1714,77
195912,1298,-339
196012,1641,4
196112,1803,166
196212,1493,-144
196312,1767,130
196412,1963,326
196512,1401,-236
196612,1619,-18
196712,1606,-31
196812,1775,138
196912,1516,-121
197012,1746,109
197112,1732,95
197212,1847,210
197312,1708,71
197412,1410,-227
197512,1555,-82
197612,1703,66
197712,1822,185
197812,1813,176
197912,1337,-300
198012,1578,-59
198112,1662,25
198212,1421,-216
198312,2096,459
198412,1790,153
198512,1830,193
198612,1387,-250
198712,1346,-291
198812,1543,-94
198912,1833,196
199012,1740,103
199112,1413,-224
199212,1743,106
199312,1536,-101
199412,1483,-154
199512,1672,35
199612,1881,244
199712,1251,-386
199812,1491,-146
199912,1277,-360
200012,1949,312
200112,1462,-175
200212,1385,-252
200312,1399,-238
200412,1439,-198
200512,1470,-167
200612,1347,-290
200712,1651,14
200812,1874,237
200912,1784,147
201012,1729,92
201112,1307,-330
201212,1616,-21
201312,1882,245
201412,1460,-177
201512,1368,-269
