New Hampshire, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,268,-87
189605,255,-100
189705,344,-11
189805,383,28
189905,356,1
190005,463,108
190105,370,15
190205,387,32
190305,297,-58
190405,232,-123
190505,373,18
190605,386,31
190705,519,164
190805,291,-64
190905,416,61
191005,377,22
191105,186,-169
191205,339,-16
191305,441,86
191405,319,-36
191505,454,99
191605,367,12
191705,605,250
191805,215,-140
191905,336,-19
192005,436,81
192105,330,-25
192205,297,-58
192305,407,52
192405,462,107
192505,454,99
192605,434,79
192705,463,108
192805,427,72
192905,330,-25
193005,307,-48
193105,326,-29
193205,319,-36
193305,298,-57
193405,291,-64
193505,452,97
193605,260,-95
193705,324,-31
193805,405,50
193905,357,2
194005,360,5
194105,319,-36
194205,245,-110
194305,373,18
194405,227,-128
194505,452,97
194605,385,30
194705,386,31
194805,422,67
194905,316,-39
195005,346,-9
195105,336,-19
195205,435,80
195305,299,-56
195405,418,63
195505,240,-115
195605,483,128
195705,336,-19
195805,438,83
195905,246,-109
196005,265,-90
196105,415,60
196205,396,41
196305,363,8
196405,268,-87
196505,278,-77
196605,444,89
196705,559,204
196805,424,69
196905,389,34
197005,289,-66
197105,378,23
197205,331,-24
197305,408,53
197405,463,108
197505,207,-148
197605,375,20
197705,260,-95
197805,295,-60
197905,296,-59
198005,338,-17
198105,288,-67
198205,299,-56
198305,403,48
198405,395,40
198505,326,-29
198605,287,-68
198705,332,-23
198805,301,-54
198905,276,-79
199005,433,78
199105,218,-137
199205,361,6
199305,305,-50
199405,388,33
199505,382,27
199605,398,43
199705,465,110
199805,222,-133
199905,286,-69
200005,348,-7
200105,287,-68
200205,408,53
200305,377,22
200405,280,-75
200505,480,125
200605,333,-22
200705,296,-59
200805,383,28
200905,323,-32
201005,232,-123
201105,267,-88
201205,231,-124
201305,298,-57
201405,317,-38
201505,181,-174
