South Dakota, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1778,243
189601,1439,-96
189701,1674,139
189801,1350,-185
189901,1523,-12
190001,1286,-249
190101,1369,-166
190201,1407,-128
190301,1471,-64
190401,1620,85
190501,1728,193
190601,1358,-177
190701,1784,249
190801,1307,-228
190901,1588,53
191001,1574,39
191101,1548,13
191201,1888,353
191301,1528,-7
191401,1276,-259
191501,1587,52
191601,1884,349
191701,1630,95
191801,1822,287
191901,1233,-302
192001,1493,-42
192101,1261,-274
192201,1605,70
192301,1329,-206
192401,1720,185
192501,1612,77
192601,1445,-90
192701,1442,-93
192801,1399,-136
192901,1877,342
193001,1861,326
193101,1177,-358
193201,1604,69
193301,1234,-301
193401,1272,-263
193501,1515,-20
193601,1880,345
193701,2003,468
193801,1487,-48
193901,1265,-270
194001,1831,296
194101,1448,-87
194201,1352,-183
194301,1723,188
194401,1237,-298
194501,1394,-141
194601,1397,-138
194701,1303,-232
194801,1552,17
194901,1776,241
195001,1873,338
195101,1578,43
195201,1601,66
195301,1358,-177
195401,1638,103
195501,1427,-108
195601,1596,61
195701,1749,214
195801,1268,-267
195901,1614,79
196001,1543,8
196101,1491,-44
196201,1588,53
196301,1773,238
196401,1323,-212
196501,1575,40
196601,1779,244
196701,1395,-140
196801,1508,-27
196901,1744,209
197001,1740,205
197101,1681,146
197201,1691,156
197301,1430,-105
197401,1541,6
197501,1445,-90
197601,1502,-33
197701,1793,258
197801,1911,376
197901,1934,399
198001,1492,-43
198101,1258,-277
198201,1865,330
198301,1274,-261
198401,1424,-111
198501,1590,55
198601,1284,-251
198701,1227,-308
198801,1626,91
198901,1243,-292
199001,1122,-413
199101,1560,25
199201,1163,-372
199301,1578,43
199401,1700,165
199501,1424,-111
199601,1658,123
199701,1667,132
199801,1390,-145
199901,1461,-74
200001,1356,-179
200101,1338,-197
200201,1259,-276
200301,1395,-140
200401,1487,-48
200501,1484,-51
200601,1020,-515
200701,1415,-120
200801,1517,-18
200901,1504,-31
201001,1552,17
201101,1613,78
201201,1232,-303
201301,1403,-132
201401,1471,-64
201501,1318,-217
