Indiana, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,8,-18
189606,23,-3
189706,31,5
189806,11,-15
189906,9,-17
190006,22,-4
190106,10,-16
190206,40,14
190306,79,53
190406,36,10
190506,21,-5
190606,27,1
190706,59,33
190806,27,1
190906,19,-7
191006,48,22
191106,12,-14
191206,49,23
191306,13,-13
191406,9,-17
191506,50,24
191606,68,42
191706,51,25
191806,23,-3
191906,4,-22
192006,23,-3
192106,2,-24
192206,12,-14
192306,14,-12
192406,37,11
192506,7,-19
192606,66,40
192706,69,43
192806,84,58
192906,46,20
193006,24,-2
193106,8,-18
193206,13,-13
193306,0,-26
193406,1,-25
193506,50,24
193606,22,-4
193706,28,2
193806,34,8
193906,10,-16
194006,16,-10
194106,17,-9
194206,16,-10
194306,4,-22
194406,4,-22
194506,45,19
194606,24,-2
194706,43,17
194806,21,-5
194906,8,-18
195006,33,7
195106,31,5
195206,2,-24
195306,4,-22
195406,6,-20
195506,57,31
195606,14,-12
195706,17,-9
195806,67,41
195906,14,-12
196006,37,11
196106,38,12
196206,17,-9
196306,18,-8
196406,12,-14
196506,23,-3
196606,19,-7
196706,13,-13
196806,17,-9
196906,43,17
197006,25,-1
197106,5,-21
197206,63,37
197306,11,-15
197406,55,29
197506,16,-10
197606,19,-7
197706,34,8
197806,18,-8
197906,22,-4
198006,39,13
198106,13,-13
198206,66,40
198306,16,-10
198406,6,-20
198506,39,13
198606,16,-10
198706,9,-17
198806,11,-15
198906,23,-3
199006,22,-4
199106,6,-20
199206,61,35
199306,31,5
199406,9,-17
199506,14,-12
199606,18,-8
199706,29,3
199806,18,-8
199906,12,-14
200006,22,-4
200106,31,5
200206,9,-17
200306,50,24
200406,30,4
200506,7,-19
200606,26,0
200706,12,-14
200806,12,-14
200906,16,-10
201006,7,-19
201106,12,-14
201206,14,-12
201306,20,-6
201406,11,-15
201506,19,-7
