Colorado, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1043,76
189603,1058,91
189703,1071,104
189803,1087,120
189903,1092,125
190003,877,-90
190103,1016,49
190203,1017,50
190303,1051,84
190403,864,-103
190503,834,-133
190603,1217,250
190703,751,-216
190803,845,-122
190903,1030,63
191003,674,-293
191103,824,-143
191203,1239,272
191303,1053,86
191403,958,-9
191503,1124,157
191603,794,-173
191703,1156,189
191803,801,-166
191903,977,10
192003,1018,51
192103,829,-138
192203,1002,35
192303,1140,173
192403,1268,301
192503,847,-120
192603,1004,37
192703,1030,63
192803,912,-55
192903,980,13
193003,1052,85
193103,1059,92
193203,1147,180
193303,891,-76
193403,816,-151
193503,888,-79
193603,919,-48
193703,1026,59
193803,871,-96
193903,949,-18
194003,867,-100
194103,1013,46
194203,1076,109
194303,1054,87
194403,1087,120
194503,914,-53
194603,821,-146
194703,1028,61
194803,1180,213
194903,950,-17
195003,993,26
195103,1046,79
195203,1131,164
195303,852,-115
195403,1054,87
195503,1032,65
195603,969,2
195703,976,9
195803,1158,191
195903,1010,43
196003,998,31
196103,965,-2
196203,1079,112
196303,965,-2
196403,1147,180
196503,1267,300
196603,863,-104
196703,803,-164
196803,913,-54
196903,1172,205
197003,1101,134
197103,988,21
197203,769,-198
197303,1000,33
197403,829,-138
197503,1006,39
197603,1005,38
197703,998,31
197803,850,-117
197903,932,-35
198003,1038,71
198103,931,-36
198203,896,-71
198303,971,4
198403,1013,46
198503,894,-73
198603,727,-240
198703,1002,35
198803,994,27
198903,813,-154
199003,903,-64
199103,900,-67
199203,825,-142
199303,880,-87
199403,823,-144
199503,892,-75
199603,980,13
199703,820,-147
199803,969,2
199903,798,-169
200003,864,-103
200103,903,-64
200203,1036,69
200303,876,-91
200403,716,-251
200503,913,-54
200603,936,-31
200703,741,-226
200803,945,-22
200903,861,-106
201003,906,-61
201103,831,-136
201203,683,-284
201303,949,-18
201403,892,-75
201503,764,-203
