California, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,499,42
189603,421,-36
189703,614,157
189803,550,93
189903,490,33
190003,348,-109
190103,417,-40
190203,556,99
190303,523,66
190403,485,28
190503,398,-59
190603,477,20
190703,536,79
190803,470,13
190903,576,119
191003,390,-67
191103,436,-21
191203,580,123
191303,527,70
191403,353,-104
191503,394,-63
191603,385,-72
191703,584,127
191803,457,0
191903,554,97
192003,553,96
192103,418,-39
192203,573,116
192303,446,-11
192403,529,72
192503,442,-15
192603,326,-131
192703,498,41
192803,381,-76
192903,499,42
193003,417,-40
193103,356,-101
193203,395,-62
193303,451,-6
193403,242,-215
193503,596,139
193603,405,-52
193703,481,24
193803,541,84
193903,488,31
194003,378,-79
194103,401,-56
194203,488,31
194303,417,-40
194403,464,7
194503,587,130
194603,487,30
194703,395,-62
194803,575,118
194903,539,82
195003,462,5
195103,463,6
195203,601,144
195303,485,28
195403,537,80
195503,456,-1
195603,446,-11
195703,429,-28
195803,561,104
195903,335,-122
196003,372,-85
196103,464,7
196203,566,109
196303,504,47
196403,522,65
196503,471,14
196603,419,-38
196703,479,22
196803,404,-53
196903,498,41
197003,427,-30
197103,469,12
197203,315,-142
197303,574,117
197403,453,-4
197503,534,77
197603,482,25
197703,552,95
197803,345,-112
197903,454,-3
198003,482,25
198103,459,2
198203,504,47
198303,442,-15
198403,352,-105
198503,522,65
198603,336,-121
198703,451,-6
198803,348,-109
198903,365,-92
199003,397,-60
199103,556,99
199203,400,-57
199303,327,-130
199403,343,-114
199503,420,-37
199603,374,-83
199703,301,-156
199803,425,-32
199903,511,54
200003,414,-43
200103,358,-99
200203,449,-8
200303,373,-84
200403,233,-224
200503,379,-78
200603,584,127
200703,297,-160
200803,387,-70
200903,427,-30
201003,420,-37
201103,436,-21
201203,444,-13
201303,316,-141
201403,300,-157
201503,210,-247
