Minnesota, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1516,-51
189612,1457,-110
189712,1720,153
189812,1740,173
189912,1540,-27
190012,1507,-60
190112,1670,103
190212,1684,117
190312,1805,238
190412,1570,3
190512,1468,-99
190612,1587,20
190712,1421,-146
190812,1525,-42
190912,1741,174
191012,1612,45
191112,1433,-134
191212,1428,-139
191312,1230,-337
191412,1777,210
191512,1479,-88
191612,1801,234
191712,1890,323
191812,1327,-240
191912,1844,277
192012,1449,-118
192112,1516,-51
192212,1641,74
192312,1263,-304
192412,1892,325
192512,1638,71
192612,1704,137
192712,1925,358
192812,1380,-187
192912,1620,53
193012,1458,-109
193112,1244,-323
193212,1661,94
193312,1676,109
193412,1707,140
193512,1604,37
193612,1496,-71
193712,1649,82
193812,1520,-47
193912,1243,-324
194012,1472,-95
194112,1343,-224
194212,1689,122
194312,1444,-123
194412,1547,-20
194512,1731,164
194612,1549,-18
194712,1601,34
194812,1583,16
194912,1552,-15
195012,1775,208
195112,1666,99
195212,1397,-170
195312,1501,-66
195412,1411,-156
195512,1781,214
195612,1452,-115
195712,1389,-178
195812,1723,156
195912,1257,-310
196012,1594,27
196112,1631,64
196212,1509,-58
196312,1790,223
196412,1732,165
196512,1307,-260
196612,1580,13
196712,1473,-94
196812,1617,50
196912,1490,-77
197012,1619,52
197112,1567,0
197212,1764,197
197312,1601,34
197412,1374,-193
197512,1552,-15
197612,1809,242
197712,1667,100
197812,1727,160
197912,1340,-227
198012,1553,-14
198112,1577,10
198212,1346,-221
198312,2002,435
198412,1571,4
198512,1893,326
198612,1389,-178
198712,1349,-218
198812,1523,-44
198912,1815,248
199012,1606,39
199112,1473,-94
199212,1508,-59
199312,1475,-92
199412,1358,-209
199512,1579,12
199612,1682,115
199712,1250,-317
199812,1344,-223
199912,1324,-243
200012,1881,314
200112,1263,-304
200212,1313,-254
200312,1336,-231
200412,1445,-122
200512,1479,-88
200612,1226,-341
200712,1613,46
200812,1737,170
200912,1583,16
201012,1618,51
201112,1276,-291
201212,1428,-139
201312,1791,224
201412,1337,-230
201512,1183,-384
