Idaho, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1076,84
189602,894,-98
189702,1013,21
189802,915,-77
189902,1138,146
190002,1001,9
190102,1030,38
190202,888,-104
190302,1304,312
190402,991,-1
190502,1088,96
190602,986,-6
190702,804,-188
190802,959,-33
190902,921,-71
191002,1184,192
191102,1153,161
191202,947,-45
191302,1180,188
191402,1025,33
191502,856,-136
191602,986,-6
191702,1119,127
191802,1032,40
191902,995,3
192002,948,-44
192102,993,1
192202,1164,172
192302,1192,200
192402,822,-170
192502,856,-136
192602,842,-150
192702,936,-56
192802,1033,41
192902,1288,296
193002,843,-149
193102,1007,15
193202,1161,169
193302,1342,350
193402,743,-249
193502,1018,26
193602,1216,224
193702,1137,145
193802,905,-87
193902,1144,152
194002,883,-109
194102,880,-112
194202,1111,119
194302,982,-10
194402,998,6
194502,907,-85
194602,1036,44
194702,885,-107
194802,1010,18
194902,1134,142
195002,1004,12
195102,959,-33
195202,1144,152
195302,910,-82
195402,849,-143
195502,1169,177
195602,1201,209
195702,1002,10
195802,806,-186
195902,955,-37
196002,1084,92
196102,826,-166
196202,1013,21
196302,755,-237
196402,1182,190
196502,944,-48
196602,1014,22
196702,895,-97
196802,860,-132
196902,1035,43
197002,837,-155
197102,954,-38
197202,982,-10
197302,964,-28
197402,949,-43
197502,1035,43
197602,1021,29
197702,944,-48
197802,901,-91
197902,1005,13
198002,859,-133
198102,916,-76
198202,1105,113
198302,860,-132
198402,1094,102
198502,1220,228
198602,860,-132
198702,894,-98
198802,921,-71
198902,1249,257
199002,1022,30
199102,787,-205
199202,773,-219
199302,1134,142
199402,1024,32
199502,802,-190
199602,987,-5
199702,963,-29
199802,884,-108
199902,962,-30
200002,836,-156
200102,1031,39
200202,1073,81
200302,949,-43
200402,1005,13
200502,948,-44
200602,1041,49
200702,868,-124
200802,975,-17
200902,973,-19
201002,911,-81
201102,1047,55
201202,933,-59
201302,955,-37
201402,938,-54
201502,742,-250
