Wisconsin, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1521,238
189602,1238,-45
189702,1194,-89
189802,1241,-42
189902,1556,273
190002,1497,214
190102,1506,223
190202,1369,86
190302,1317,34
190402,1602,319
190502,1523,240
190602,1321,38
190702,1292,9
190802,1272,-11
190902,1202,-81
191002,1423,140
191102,1147,-136
191202,1468,185
191302,1432,149
191402,1544,261
191502,1090,-193
191602,1426,143
191702,1588,305
191802,1342,59
191902,1215,-68
192002,1364,81
192102,1125,-158
192202,1327,44
192302,1480,197
192402,1246,-37
192502,1193,-90
192602,1194,-89
192702,1117,-166
192802,1213,-70
192902,1518,235
193002,1077,-206
193102,1007,-276
193202,1161,-122
193302,1361,78
193402,1375,92
193502,1218,-65
193602,1714,431
193702,1331,48
193802,1135,-148
193902,1376,93
194002,1225,-58
194102,1327,44
194202,1295,12
194302,1284,1
194402,1211,-72
194502,1274,-9
194602,1267,-16
194702,1403,120
194802,1331,48
194902,1300,17
195002,1304,21
195102,1302,19
195202,1139,-144
195302,1216,-67
195402,989,-294
195502,1300,17
195602,1284,1
195702,1166,-117
195802,1422,139
195902,1405,122
196002,1262,-21
196102,1071,-212
196202,1360,77
196302,1468,185
196402,1175,-108
196502,1362,79
196602,1273,-10
196702,1444,161
196802,1350,67
196902,1213,-70
197002,1318,35
197102,1316,33
197202,1386,103
197302,1189,-94
197402,1310,27
197502,1276,-7
197602,1083,-200
197702,1247,-36
197802,1485,202
197902,1526,243
198002,1356,73
198102,1165,-118
198202,1341,58
198302,1070,-213
198402,1002,-281
198502,1348,65
198602,1303,20
198702,1012,-271
198802,1373,90
198902,1451,168
199002,1157,-126
199102,1126,-157
199202,1046,-237
199302,1280,-3
199402,1428,145
199502,1254,-29
199602,1295,12
199702,1169,-114
199802,892,-391
199902,996,-287
200002,1036,-247
200102,1294,11
200202,1014,-269
200302,1342,59
200402,1178,-105
200502,1057,-226
200602,1223,-60
200702,1435,152
200802,1376,93
200902,1180,-103
201002,1191,-92
201102,1241,-42
201202,1018,-265
201302,1282,-1
201402,1533,250
201502,1538,255
