Oklahoma, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,68,33
189604,102,67
189704,27,-8
189804,18,-17
189904,22,-13
190004,39,4
190104,15,-20
190204,37,2
190304,31,-4
190404,17,-18
190504,21,-14
190604,53,18
190704,5,-30
190804,30,-5
190904,25,-10
191004,34,-1
191104,30,-5
191204,27,-8
191304,39,4
191404,22,-13
191504,58,23
191604,10,-25
191704,19,-16
191804,10,-25
191904,29,-6
192004,13,-22
192104,20,-15
192204,34,-1
192304,29,-6
192404,30,-5
192504,107,72
192604,8,-27
192704,69,34
192804,12,-23
192904,64,29
193004,87,52
193104,11,-24
193204,61,26
193304,36,1
193404,44,9
193504,16,-19
193604,33,-2
193704,32,-3
193804,26,-9
193904,24,-11
194004,24,-11
194104,41,6
194204,52,17
194304,72,37
194404,19,-16
194504,19,-16
194604,83,48
194704,23,-12
194804,105,70
194904,20,-15
195004,21,-14
195104,15,-20
195204,12,-23
195304,11,-24
195404,106,71
195504,83,48
195604,20,-15
195704,15,-20
195804,15,-20
195904,26,-9
196004,51,16
196104,18,-17
196204,17,-18
196304,78,43
196404,72,37
196504,82,47
196604,19,-16
196704,84,49
196804,23,-12
196904,37,2
197004,33,-2
197104,33,-2
197204,62,27
197304,10,-25
197404,41,6
197504,26,-9
197604,39,4
197704,51,16
197804,60,25
197904,21,-14
198004,18,-17
198104,104,69
198204,13,-22
198304,1,-34
198404,12,-23
198504,51,16
198604,51,16
198704,33,-2
198804,19,-16
198904,48,13
199004,19,-16
199104,43,8
199204,32,-3
199304,11,-24
199404,31,-4
199504,18,-17
199604,21,-14
199704,7,-28
199804,14,-21
199904,37,2
200004,22,-13
200104,77,42
200204,45,10
200304,40,5
200404,32,-3
200504,31,-4
200604,112,77
200704,10,-25
200804,19,-16
200904,21,-14
201004,51,16
201104,56,21
201204,84,49
201304,8,-27
201404,29,-6
201504,49,14
