Kentucky, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,323,18
189608,329,24
189708,290,-15
189808,349,44
189908,374,69
190008,452,147
190108,310,5
190208,302,-3
190308,306,1
190408,300,-5
190508,304,-1
190608,376,71
190708,277,-28
190808,317,12
190908,340,35
191008,254,-51
191108,333,28
191208,254,-51
191308,386,81
191408,322,17
191508,196,-109
191608,355,50
191708,264,-41
191808,436,131
191908,278,-27
192008,234,-71
192108,301,-4
192208,279,-26
192308,297,-8
192408,325,20
192508,318,13
192608,349,44
192708,171,-134
192808,341,36
192908,255,-50
193008,333,28
193108,288,-17
193208,331,26
193308,286,-19
193408,333,28
193508,351,46
193608,474,169
193708,385,80
193808,371,66
193908,301,-4
194008,332,27
194108,344,39
194208,290,-15
194308,381,76
194408,334,29
194508,301,-4
194608,176,-129
194708,436,131
194808,277,-28
194908,301,-4
195008,197,-108
195108,311,6
195208,332,27
195308,318,13
195408,360,55
195508,377,72
195608,287,-18
195708,283,-22
195808,269,-36
195908,370,65
196008,342,37
196108,262,-43
196208,303,-2
196308,241,-64
196408,286,-19
196508,283,-22
196608,242,-63
196708,168,-137
196808,328,23
196908,266,-39
197008,299,-6
197108,231,-74
197208,274,-31
197308,289,-16
197408,258,-47
197508,363,58
197608,201,-104
197708,305,0
197808,300,-5
197908,277,-28
198008,418,113
198108,263,-42
198208,225,-80
198308,445,140
198408,295,-10
198508,258,-47
198608,238,-67
198708,361,56
198808,388,83
198908,276,-29
199008,273,-32
199108,311,6
199208,187,-118
199308,341,36
199408,244,-61
199508,445,140
199608,289,-16
199708,253,-52
199808,324,19
199908,322,17
200008,299,-6
200108,353,48
200208,377,72
200308,334,29
200408,200,-105
200508,402,97
200608,382,77
200708,493,188
200808,281,-24
200908,267,-38
201008,409,104
201108,335,30
201208,298,-7
201308,276,-29
201408,312,7
201508,245,-60
