Tennessee, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,88,-27
189605,237,122
189705,65,-50
189805,169,54
189905,202,87
190005,115,0
190105,91,-24
190205,218,103
190305,133,18
190405,96,-19
190505,169,54
190605,112,-3
190705,60,-55
190805,137,22
190905,90,-25
191005,62,-53
191105,167,52
191205,128,13
191305,120,5
191405,120,5
191505,151,36
191605,162,47
191705,32,-83
191805,176,61
191905,88,-27
192005,107,-8
192105,107,-8
192205,137,22
192305,81,-34
192405,42,-73
192505,68,-47
192605,116,1
192705,137,22
192805,85,-30
192905,99,-16
193005,124,9
193105,69,-46
193205,105,-10
193305,187,72
193405,137,22
193505,110,-5
193605,165,50
193705,126,11
193805,126,11
193905,110,-5
194005,62,-53
194105,160,45
194205,117,2
194305,159,44
194405,178,63
194505,59,-56
194605,80,-35
194705,75,-40
194805,98,-17
194905,133,18
195005,163,48
195105,102,-13
195205,124,9
195305,173,58
195405,41,-74
195505,160,45
195605,152,37
195705,139,24
195805,115,0
195905,176,61
196005,68,-47
196105,56,-59
196205,251,136
196305,103,-12
196405,137,22
196505,177,62
196605,79,-36
196705,71,-44
196805,86,-29
196905,113,-2
197005,131,16
197105,51,-64
197205,94,-21
197305,58,-57
197405,125,10
197505,155,40
197605,40,-75
197705,162,47
197805,90,-25
197905,86,-29
198005,100,-15
198105,58,-57
198205,168,53
198305,69,-46
198405,65,-50
198505,115,0
198605,129,14
198705,212,97
198805,85,-30
198905,62,-53
199005,76,-39
199105,191,76
199205,71,-44
199305,99,-16
199405,51,-64
199505,113,-2
199605,157,42
199705,47,-68
199805,176,61
199905,105,-10
200005,159,44
200105,125,10
200205,80,-35
200305,118,3
200405,188,73
200505,68,-47
200605,94,-21
200705,160,45
200805,89,-26
200905,115,0
201005,167,52
201105,104,-11
201205,198,83
201305,93,-22
201405,130,15
201505,144,29
