South Dakota, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,64,13
189609,14,-37
189709,147,96
189809,50,-1
189909,32,-19
190009,36,-15
190109,27,-24
190209,16,-35
190309,19,-32
190409,39,-12
190509,73,22
190609,65,14
190709,24,-27
190809,122,71
190909,44,-7
191009,40,-11
191109,50,-1
191209,15,-36
191309,56,5
191409,59,8
191509,30,-21
191609,34,-17
191709,38,-13
191809,14,-37
191909,73,22
192009,63,12
192109,52,1
192209,99,48
192309,59,8
192409,24,-27
192509,97,46
192609,24,-27
192709,61,10
192809,27,-24
192909,16,-35
193009,48,-3
193109,138,87
193209,41,-10
193309,112,61
193409,16,-35
193509,64,13
193609,96,45
193709,73,22
193809,89,38
193909,101,50
194009,118,67
194109,56,5
194209,16,-35
194309,31,-20
194409,38,-13
194509,31,-20
194609,34,-17
194709,63,12
194809,111,60
194909,21,-30
195009,38,-13
195109,12,-39
195209,88,37
195309,55,4
195409,52,1
195509,63,12
195609,46,-5
195709,25,-26
195809,74,23
195909,37,-14
196009,56,5
196109,21,-30
196209,26,-25
196309,83,32
196409,33,-18
196509,3,-48
196609,36,-15
196709,47,-4
196809,37,-14
196909,73,22
197009,53,2
197109,38,-13
197209,39,-12
197309,25,-26
197409,22,-29
197509,24,-27
197609,61,10
197709,50,-1
197809,111,60
197909,88,37
198009,62,11
198109,61,10
198209,35,-16
198309,57,6
198409,16,-35
198509,21,-30
198609,25,-26
198709,47,-4
198809,49,-2
198909,42,-9
199009,104,53
199109,51,0
199209,36,-15
199309,13,-38
199409,68,17
199509,34,-17
199609,30,-21
199709,72,21
199809,129,78
199909,27,-24
200009,61,10
200109,57,6
200209,71,20
200309,40,-11
200409,84,33
200509,118,67
200609,19,-32
200709,70,19
200809,50,-1
200909,67,16
201009,36,-15
201109,37,-14
201209,68,17
201309,116,65
201409,46,-5
201509,116,65
