Arizona, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,249,11
189605,234,-4
189705,294,56
189805,181,-57
189905,127,-111
190005,255,17
190105,200,-38
190205,211,-27
190305,190,-48
190405,243,5
190505,126,-112
190605,192,-46
190705,154,-84
190805,155,-83
190905,167,-71
191005,315,77
191105,198,-40
191205,198,-40
191305,199,-39
191405,244,6
191505,126,-112
191605,194,-44
191705,112,-126
191805,151,-87
191905,244,6
192005,219,-19
192105,174,-64
192205,247,9
192305,269,31
192405,282,44
192505,296,58
192605,221,-17
192705,247,9
192805,300,62
192905,248,10
193005,127,-111
193105,294,56
193205,215,-23
193305,125,-113
193405,387,149
193505,143,-95
193605,323,85
193705,268,30
193805,226,-12
193905,276,38
194005,351,113
194105,226,-12
194205,198,-40
194305,284,46
194405,206,-32
194505,222,-16
194605,225,-13
194705,316,78
194805,243,5
194905,215,-23
195005,198,-40
195105,236,-2
195205,309,71
195305,118,-120
195405,285,47
195505,198,-40
195605,283,45
195705,158,-80
195805,377,139
195905,210,-28
196005,235,-3
196105,227,-11
196205,190,-48
196305,315,77
196405,213,-25
196505,164,-74
196605,315,77
196705,215,-23
196805,230,-8
196905,292,54
197005,288,50
197105,158,-80
197205,245,7
197305,286,48
197405,273,35
197505,176,-62
197605,279,41
197705,148,-90
197805,224,-14
197905,221,-17
198005,162,-76
198105,245,7
198205,224,-14
198305,230,-8
198405,396,158
198505,293,55
198605,286,48
198705,262,24
198805,259,21
198905,303,65
199005,237,-1
199105,198,-40
199205,293,55
199305,313,75
199405,234,-4
199505,170,-68
199605,349,111
199705,415,177
199805,181,-57
199905,251,13
200005,401,163
200105,408,170
200205,276,38
200305,314,76
200405,329,91
200505,313,75
200605,367,129
200705,332,94
200805,208,-30
200905,401,163
201005,196,-42
201105,209,-29
201205,350,112
201305,314,76
201405,305,67
201505,195,-43
