Utah, Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,107,-62
189607,128,-41
189707,88,-81
189807,163,-6
189907,161,-8
190007,138,-31
190107,231,62
190207,87,-82
190307,106,-63
190407,113,-56
190507,146,-23
190607,141,-28
190707,133,-36
190807,142,-27
190907,142,-27
191007,175,6
191107,117,-52
191207,98,-71
191307,106,-63
191407,125,-44
191507,131,-38
191607,148,-21
191707,201,32
191807,136,-33
191907,226,57
192007,182,13
192107,172,3
192207,153,-16
192307,181,12
192407,152,-17
192507,188,19
192607,144,-25
192707,164,-5
192807,160,-9
192907,192,23
193007,188,19
193107,261,92
193207,153,-16
193307,243,74
193407,227,58
193507,187,18
193607,206,37
193707,183,14
193807,131,-38
193907,184,15
194007,225,56
194107,149,-20
194207,206,37
194307,165,-4
194407,147,-22
194507,164,-5
194607,190,21
194707,167,-2
194807,154,-15
194907,159,-10
195007,119,-50
195107,167,-2
195207,134,-35
195307,207,38
195407,215,46
195507,146,-23
195607,163,-6
195707,160,-9
195807,138,-31
195907,189,20
196007,231,62
196107,213,44
196207,135,-34
196307,186,17
196407,208,39
196507,138,-31
196607,212,43
196707,182,13
196807,165,-4
196907,164,-5
197007,157,-12
197107,171,2
197207,166,-3
197307,141,-28
197407,176,7
197507,183,14
197607,190,21
197707,166,-3
197807,174,5
197907,171,2
198007,185,16
198107,189,20
198207,124,-45
198307,132,-37
198407,154,-15
198507,195,26
198607,121,-48
198707,118,-51
198807,244,75
198907,245,76
199007,198,29
199107,192,23
199207,119,-50
199307,70,-99
199407,226,57
199507,130,-39
199607,218,49
199707,126,-43
199807,222,53
199907,177,8
200007,244,75
200107,216,47
200207,289,120
200307,312,143
200407,186,17
200507,239,70
200607,263,94
200707,294,125
200807,226,57
200907,190,21
201007,195,26
201107,175,6
201207,221,52
201307,246,77
201407,242,73
201507,137,-32
