Connecticut, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,145,-1
189608,151,5
189708,96,-50
189808,189,43
189908,111,-35
190008,198,52
190108,156,10
190208,86,-60
190308,33,-113
190408,93,-53
190508,83,-63
190608,190,44
190708,97,-49
190808,109,-37
190908,94,-52
191008,93,-53
191108,119,-27
191208,80,-66
191308,133,-13
191408,142,-4
191508,89,-57
191608,166,20
191708,191,45
191808,171,25
191908,76,-70
192008,161,15
192108,85,-61
192208,109,-37
192308,93,-53
192408,130,-16
192508,124,-22
192608,147,1
192708,57,-89
192808,205,59
192908,94,-52
193008,121,-25
193108,167,21
193208,162,16
193308,144,-2
193408,88,-58
193508,148,2
193608,169,23
193708,238,92
193808,214,68
193908,239,93
194008,81,-65
194108,117,-29
194208,121,-25
194308,151,5
194408,217,71
194508,117,-29
194608,74,-72
194708,200,54
194808,178,32
194908,204,58
195008,119,-27
195108,134,-12
195208,156,10
195308,136,-10
195408,92,-54
195508,241,95
195608,132,-14
195708,86,-60
195808,140,-6
195908,221,75
196008,150,4
196108,152,6
196208,105,-41
196308,98,-48
196408,68,-78
196508,140,-6
196608,163,17
196708,143,-3
196808,147,1
196908,204,58
197008,194,48
197108,152,6
197208,129,-17
197308,231,85
197408,169,23
197508,159,13
197608,137,-9
197708,168,22
197808,182,36
197908,157,11
198008,228,82
198108,147,1
198208,100,-46
198308,193,47
198408,213,67
198508,143,-3
198608,105,-41
198708,111,-35
198808,247,101
198908,156,10
199008,195,49
199108,201,55
199208,109,-37
199308,213,67
199408,138,-8
199508,192,46
199608,174,28
199708,137,-9
199808,221,75
199908,175,29
200008,128,-18
200108,262,116
200208,231,85
200308,241,95
200408,167,21
200508,269,123
200608,176,30
200708,184,38
200808,122,-24
200908,227,81
201008,208,62
201108,206,60
201208,239,93
201308,145,-1
201408,138,-8
201508,236,90
