California, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,3,-5
189604,1,-7
189704,11,3
189804,14,6
189904,8,0
190004,1,-7
190104,2,-6
190204,2,-6
190304,2,-6
190404,3,-5
190504,7,-1
190604,1,-7
190704,8,0
190804,9,1
190904,4,-4
191004,14,6
191104,1,-7
191204,1,-7
191304,3,-5
191404,7,-1
191504,4,-4
191604,9,1
191704,1,-7
191804,6,-2
191904,7,-1
192004,1,-7
192104,2,-6
192204,1,-7
192304,2,-6
192404,4,-4
192504,3,-5
192604,16,8
192704,3,-5
192804,7,-1
192904,1,-7
193004,13,5
193104,19,11
193204,6,-2
193304,2,-6
193404,25,17
193504,3,-5
193604,10,2
193704,2,-6
193804,3,-5
193904,17,9
194004,10,2
194104,1,-7
194204,2,-6
194304,9,1
194404,1,-7
194504,3,-5
194604,12,4
194704,12,4
194804,2,-6
194904,14,6
195004,13,5
195104,4,-4
195204,4,-4
195304,3,-5
195404,15,7
195504,1,-7
195604,3,-5
195704,3,-5
195804,7,-1
195904,24,16
196004,11,3
196104,10,2
196204,19,11
196304,1,-7
196404,2,-6
196504,2,-6
196604,18,10
196704,0,-8
196804,6,-2
196904,7,-1
197004,1,-7
197104,2,-6
197204,8,0
197304,3,-5
197404,5,-3
197504,0,-8
197604,1,-7
197704,12,4
197804,1,-7
197904,7,-1
198004,8,0
198104,13,5
198204,5,-3
198304,1,-7
198404,7,-1
198504,19,11
198604,9,1
198704,27,19
198804,11,3
198904,33,25
199004,19,11
199104,6,-2
199204,31,23
199304,15,7
199404,11,3
199504,6,-2
199604,21,13
199704,13,5
199804,1,-7
199904,1,-7
200004,19,11
200104,2,-6
200204,10,2
200304,1,-7
200404,18,10
200504,6,-2
200604,3,-5
200704,13,5
200804,11,3
200904,8,0
201004,1,-7
201104,9,1
201204,13,5
201304,22,14
201404,22,14
201504,18,10
