Indiana, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,260,76
189606,172,-12
189706,151,-33
189806,230,46
189906,245,61
190006,178,-6
190106,236,52
190206,141,-43
190306,79,-105
190406,139,-45
190506,185,1
190606,163,-21
190706,102,-82
190806,160,-24
190906,194,10
191006,117,-67
191106,226,42
191206,115,-69
191306,220,36
191406,263,79
191506,118,-66
191606,92,-92
191706,114,-70
191806,173,-11
191906,283,99
192006,169,-15
192106,310,126
192206,222,38
192306,207,23
192406,148,-36
192506,258,74
192606,96,-88
192706,90,-94
192806,74,-110
192906,122,-62
193006,168,-16
193106,246,62
193206,215,31
193306,336,152
193406,342,158
193506,111,-73
193606,187,3
193706,164,-20
193806,144,-40
193906,230,46
194006,199,15
194106,198,14
194206,198,14
194306,289,105
194406,287,103
194506,123,-61
194606,173,-11
194706,127,-57
194806,182,-2
194906,249,65
195006,144,-40
195106,154,-30
195206,315,131
195306,292,108
195406,274,90
195506,101,-83
195606,206,22
195706,195,11
195806,95,-89
195906,205,21
196006,136,-48
196106,130,-54
196206,191,7
196306,189,5
196406,217,33
196506,174,-10
196606,181,-3
196706,207,23
196806,195,11
196906,132,-52
197006,161,-23
197106,274,90
197206,97,-87
197306,220,36
197406,105,-79
197506,195,11
197606,182,-2
197706,145,-39
197806,189,5
197906,175,-9
198006,133,-51
198106,215,31
198206,92,-92
198306,193,9
198406,264,80
198506,132,-52
198606,202,18
198706,243,59
198806,220,36
198906,170,-14
199006,173,-11
199106,268,84
199206,99,-85
199306,150,-34
199406,236,52
199506,207,23
199606,187,3
199706,150,-34
199806,191,7
199906,218,34
200006,175,-9
200106,148,-36
200206,239,55
200306,111,-73
200406,155,-29
200506,257,73
200606,160,-24
200706,218,34
200806,218,34
200906,203,19
201006,267,83
201106,220,36
201206,206,22
201306,183,-1
201406,229,45
201506,187,3
