Arizona, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,557,-30
189608,552,-35
189708,604,17
189808,616,29
189908,509,-78
190008,472,-115
190108,607,20
190208,572,-15
190308,630,43
190408,566,-21
190508,655,68
190608,547,-40
190708,560,-27
190808,586,-1
190908,548,-39
191008,627,40
191108,600,13
191208,508,-79
191308,572,-15
191408,606,19
191508,602,15
191608,527,-60
191708,553,-34
191808,486,-101
191908,588,1
192008,520,-67
192108,528,-59
192208,600,13
192308,523,-64
192408,610,23
192508,536,-51
192608,575,-12
192708,553,-34
192808,557,-30
192908,575,-12
193008,565,-22
193108,550,-37
193208,612,25
193308,634,47
193408,588,1
193508,567,-20
193608,607,20
193708,650,63
193808,590,3
193908,607,20
194008,623,36
194108,516,-71
194208,572,-15
194308,562,-25
194408,630,43
194508,605,18
194608,590,3
194708,556,-31
194808,624,37
194908,547,-40
195008,574,-13
195108,557,-30
195208,628,41
195308,596,9
195408,536,-51
195508,527,-60
195608,541,-46
195708,578,-9
195808,628,41
195908,542,-45
196008,624,37
196108,570,-17
196208,676,89
196308,541,-46
196408,535,-52
196508,605,18
196608,618,31
196708,607,20
196808,477,-110
196908,706,119
197008,638,51
197108,536,-51
197208,567,-20
197308,618,31
197408,555,-32
197508,601,14
197608,568,-19
197708,643,56
197808,577,-10
197908,515,-72
198008,592,5
198108,652,65
198208,614,27
198308,571,-16
198408,551,-36
198508,619,32
198608,643,56
198708,574,-13
198808,585,-2
198908,584,-3
199008,520,-67
199108,611,24
199208,576,-11
199308,580,-7
199408,707,120
199508,705,118
199608,665,78
199708,647,60
199808,677,90
199908,615,28
200008,634,47
200108,636,49
200208,650,63
200308,663,76
200408,600,13
200508,595,8
200608,604,17
200708,682,95
200808,629,42
200908,663,76
201008,647,60
201108,747,160
201208,680,93
201308,631,44
201408,550,-37
201508,707,120
