Georgia, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,319,78
189609,291,50
189709,242,1
189809,259,18
189909,200,-41
190009,317,76
190109,198,-43
190209,195,-46
190309,209,-32
190409,288,47
190509,309,68
190609,332,91
190709,273,32
190809,208,-33
190909,222,-19
191009,295,54
191109,392,151
191209,328,87
191309,180,-61
191409,196,-45
191509,296,55
191609,206,-35
191709,184,-57
191809,141,-100
191909,251,10
192009,291,50
192109,427,186
192209,286,45
192309,283,42
192409,159,-82
192509,504,263
192609,362,121
192709,299,58
192809,192,-49
192909,218,-23
193009,318,77
193109,356,115
193209,232,-9
193309,348,107
193409,267,26
193509,234,-7
193609,309,68
193709,189,-52
193809,237,-4
193909,299,58
194009,183,-58
194109,313,72
194209,218,-23
194309,172,-69
194409,261,20
194509,307,66
194609,191,-50
194709,279,38
194809,194,-47
194909,178,-63
195009,181,-60
195109,264,23
195209,182,-59
195309,199,-42
195409,324,83
195509,275,34
195609,172,-69
195709,254,13
195809,242,1
195909,229,-12
196009,242,1
196109,246,5
196209,208,-33
196309,188,-53
196409,214,-27
196509,230,-11
196609,190,-51
196709,104,-137
196809,183,-58
196909,171,-70
197009,320,79
197109,260,19
197209,276,35
197309,298,57
197409,172,-69
197509,177,-64
197609,169,-72
197709,274,33
197809,292,51
197909,198,-43
198009,328,87
198109,178,-63
198209,172,-69
198309,170,-71
198409,171,-70
198509,188,-53
198609,262,21
198709,222,-19
198809,219,-22
198909,196,-45
199009,258,17
199109,226,-15
199209,219,-22
199309,265,24
199409,179,-62
199509,191,-50
199609,195,-46
199709,236,-5
199809,298,57
199909,206,-35
200009,186,-55
200109,173,-68
200209,303,62
200309,199,-42
200409,208,-33
200509,308,67
200609,194,-47
200709,286,45
200809,241,0
200909,230,-11
201009,298,57
201109,207,-34
201209,221,-20
201309,230,-11
201409,269,28
201509,217,-24
