Utah, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,37,-26
189606,93,30
189706,48,-15
189806,63,0
189906,45,-18
190006,112,49
190106,36,-27
190206,77,14
190306,80,17
190406,40,-23
190506,52,-11
190606,29,-34
190706,18,-45
190806,20,-43
190906,75,12
191006,88,25
191106,61,-2
191206,61,-2
191306,49,-14
191406,39,-24
191506,31,-32
191606,46,-17
191706,40,-23
191806,143,80
191906,100,37
192006,52,-11
192106,87,24
192206,103,40
192306,28,-35
192406,79,16
192506,33,-30
192606,94,31
192706,62,-1
192806,41,-22
192906,46,-17
193006,65,2
193106,110,47
193206,49,-14
193306,119,56
193406,56,-7
193506,80,17
193606,105,42
193706,51,-12
193806,78,15
193906,49,-14
194006,115,52
194106,41,-22
194206,48,-15
194306,34,-29
194406,24,-39
194506,20,-43
194606,78,15
194706,30,-33
194806,57,-6
194906,44,-19
195006,43,-20
195106,32,-31
195206,58,-5
195306,57,-6
195406,40,-23
195506,43,-20
195606,89,26
195706,58,-5
195806,89,26
195906,104,41
196006,91,28
196106,127,64
196206,53,-10
196306,32,-31
196406,33,-30
196506,33,-30
196606,69,6
196706,27,-36
196806,60,-3
196906,34,-29
197006,59,-4
197106,59,-4
197206,80,17
197306,60,-3
197406,108,45
197506,31,-32
197606,46,-17
197706,118,55
197806,63,0
197906,66,3
198006,57,-6
198106,84,21
198206,46,-17
198306,43,-20
198406,38,-25
198506,88,25
198606,116,53
198706,93,30
198806,132,69
198906,59,-4
199006,89,26
199106,54,-9
199206,71,8
199306,30,-33
199406,123,60
199506,27,-36
199606,109,46
199706,73,10
199806,24,-39
199906,60,-3
200006,98,35
200106,94,31
200206,110,47
200306,82,19
200406,84,21
200506,38,-25
200606,118,55
200706,111,48
200806,68,5
200906,41,-22
201006,67,4
201106,45,-18
201206,110,47
201306,120,57
201406,76,13
201506,158,95
