Maine, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,41,-22
189608,41,-22
189708,39,-24
189808,80,17
189908,47,-16
190008,66,3
190108,60,-3
190208,24,-39
190308,8,-55
190408,25,-38
190508,25,-38
190608,85,22
190708,27,-36
190808,32,-31
190908,38,-25
191008,33,-30
191108,42,-21
191208,11,-52
191308,40,-23
191408,38,-25
191508,36,-27
191608,78,15
191708,77,14
191808,50,-13
191908,23,-40
192008,102,39
192108,34,-29
192208,64,1
192308,18,-45
192408,54,-9
192508,54,-9
192608,36,-27
192708,19,-44
192808,85,22
192908,27,-36
193008,38,-25
193108,59,-4
193208,92,29
193308,54,-9
193408,23,-40
193508,95,32
193608,39,-24
193708,173,110
193808,115,52
193908,127,64
194008,51,-12
194108,32,-31
194208,62,-1
194308,46,-17
194408,142,79
194508,69,6
194608,38,-25
194708,102,39
194808,92,29
194908,101,38
195008,48,-15
195108,57,-6
195208,81,18
195308,52,-11
195408,33,-30
195508,100,37
195608,32,-31
195708,26,-37
195808,56,-7
195908,86,23
196008,72,9
196108,70,7
196208,42,-21
196308,25,-38
196408,12,-51
196508,63,0
196608,69,6
196708,77,14
196808,34,-29
196908,97,34
197008,89,26
197108,73,10
197208,50,-13
197308,128,65
197408,83,20
197508,76,13
197608,63,0
197708,60,-3
197808,81,18
197908,46,-17
198008,103,40
198108,61,-2
198208,30,-33
198308,89,26
198408,117,54
198508,51,-12
198608,41,-22
198708,46,-17
198808,111,48
198908,59,-4
199008,115,52
199108,106,43
199208,59,-4
199308,98,35
199408,65,2
199508,89,26
199608,80,17
199708,66,3
199808,98,35
199908,79,16
200008,60,-3
200108,138,75
200208,133,70
200308,110,47
200408,85,22
200508,106,43
200608,48,-15
200708,75,12
200808,54,-9
200908,113,50
201008,98,35
201108,85,22
201208,136,73
201308,72,9
201408,76,13
201508,130,67
