New York, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,120,45
189606,50,-25
189706,24,-51
189806,83,8
189906,117,42
190006,91,16
190106,92,17
190206,34,-41
190306,10,-65
190406,58,-17
190506,50,-25
190606,84,9
190706,27,-48
190806,91,16
190906,81,6
191006,38,-37
191106,56,-19
191206,45,-30
191306,60,-15
191406,48,-27
191506,37,-38
191606,15,-60
191706,53,-22
191806,25,-50
191906,115,40
192006,52,-23
192106,84,9
192206,91,16
192306,101,26
192406,37,-38
192506,143,68
192606,18,-57
192706,23,-52
192806,30,-45
192906,74,-1
193006,120,45
193106,76,1
193206,63,-12
193306,108,33
193406,123,48
193506,60,-15
193606,70,-5
193706,81,6
193806,67,-8
193906,85,10
194006,50,-25
194106,83,8
194206,81,6
194306,173,98
194406,91,16
194506,62,-13
194606,50,-25
194706,45,-30
194806,52,-23
194906,157,82
195006,60,-15
195106,60,-15
195206,116,41
195306,97,22
195406,89,14
195506,62,-13
195606,86,11
195706,149,74
195806,21,-54
195906,79,4
196006,78,3
196106,70,-5
196206,88,13
196306,78,3
196406,64,-11
196506,60,-15
196606,90,15
196706,110,35
196806,55,-20
196906,79,4
197006,66,-9
197106,93,18
197206,35,-40
197306,128,53
197406,55,-20
197506,81,6
197606,127,52
197706,50,-25
197806,71,-4
197906,51,-24
198006,42,-33
198106,96,21
198206,30,-45
198306,99,24
198406,118,43
198506,36,-39
198606,65,-10
198706,109,34
198806,71,-4
198906,105,30
199006,83,8
199106,125,50
199206,49,-26
199306,81,6
199406,132,57
199506,99,24
199606,100,25
199706,85,10
199806,68,-7
199906,140,65
200006,81,6
200106,117,42
200206,90,15
200306,57,-18
200406,67,-8
200506,167,92
200606,99,24
200706,108,33
200806,150,75
200906,52,-23
201006,148,73
201106,117,42
201206,98,23
201306,104,29
201406,109,34
201506,76,1
