Tennessee, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,272,88
189609,166,-18
189709,229,45
189809,247,63
189909,145,-39
190009,294,110
190109,130,-54
190209,121,-63
190309,150,-34
190409,216,32
190509,207,23
190609,272,88
190709,175,-9
190809,184,0
190909,152,-32
191009,248,64
191109,333,149
191209,240,56
191309,176,-8
191409,164,-20
191509,227,43
191609,135,-49
191709,140,-44
191809,71,-113
191909,198,14
192009,212,28
192109,348,164
192209,239,55
192309,188,4
192409,99,-85
192509,415,231
192609,313,129
192709,231,47
192809,106,-78
192909,173,-11
193009,242,58
193109,313,129
193209,172,-12
193309,307,123
193409,172,-12
193509,175,-9
193609,286,102
193709,143,-41
193809,182,-2
193909,288,104
194009,126,-58
194109,268,84
194209,140,-44
194309,107,-77
194409,181,-3
194509,242,58
194609,146,-38
194709,218,34
194809,160,-24
194909,97,-87
195009,123,-61
195109,164,-20
195209,128,-56
195309,175,-9
195409,272,88
195509,252,68
195609,131,-53
195709,176,-8
195809,168,-16
195909,202,18
196009,205,21
196109,196,12
196209,140,-44
196309,140,-44
196409,153,-31
196509,193,9
196609,126,-58
196709,83,-101
196809,126,-58
196909,134,-50
197009,275,91
197109,222,38
197209,231,47
197309,241,57
197409,88,-96
197509,100,-84
197609,108,-76
197709,218,34
197809,245,61
197909,138,-46
198009,256,72
198109,110,-74
198209,123,-61
198309,168,-16
198409,114,-70
198509,139,-45
198609,232,48
198709,162,-22
198809,168,-16
198909,140,-44
199009,208,24
199109,179,-5
199209,145,-39
199309,138,-46
199409,111,-73
199509,135,-49
199609,124,-60
199709,163,-21
199809,289,105
199909,159,-25
200009,168,-16
200109,125,-59
200209,258,74
200309,133,-51
200409,167,-17
200509,242,58
200609,117,-67
200709,253,69
200809,204,20
200909,188,4
201009,216,32
201109,136,-48
201209,155,-29
201309,191,7
201409,189,5
201509,199,15
