Louisiana, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,94,-13
189604,171,64
189704,107,0
189804,46,-61
189904,72,-35
190004,111,4
190104,50,-57
190204,111,4
190304,84,-23
190404,76,-31
190504,124,17
190604,112,5
190704,66,-41
190804,225,118
190904,101,-6
191004,85,-22
191104,160,53
191204,140,33
191304,73,-34
191404,103,-4
191504,102,-5
191604,69,-38
191704,78,-29
191804,84,-23
191904,81,-26
192004,96,-11
192104,77,-30
192204,174,67
192304,117,10
192404,107,0
192504,176,69
192604,60,-47
192704,187,80
192804,42,-65
192904,184,77
193004,138,31
193104,50,-57
193204,111,4
193304,104,-3
193404,111,4
193504,116,9
193604,70,-37
193704,89,-18
193804,83,-24
193904,81,-26
194004,79,-28
194104,129,22
194204,93,-14
194304,116,9
194404,94,-13
194504,136,29
194604,151,44
194704,136,29
194804,167,60
194904,75,-32
195004,55,-52
195104,62,-45
195204,55,-52
195304,91,-16
195404,183,76
195504,159,52
195604,80,-27
195704,121,14
195804,101,-6
195904,74,-33
196004,117,10
196104,51,-56
196204,70,-37
196304,189,82
196404,152,45
196504,186,79
196604,111,4
196704,213,106
196804,130,23
196904,108,1
197004,155,48
197104,80,-27
197204,127,20
197304,54,-53
197404,94,-13
197504,77,-30
197604,112,5
197704,109,2
197804,113,6
197904,131,24
198004,64,-43
198104,198,91
198204,87,-20
198304,35,-72
198404,96,-11
198504,134,27
198604,107,0
198704,62,-45
198804,105,-2
198904,85,-22
199004,92,-15
199104,161,54
199204,80,-27
199304,38,-69
199404,121,14
199504,103,-4
199604,68,-39
199704,43,-64
199804,75,-32
199904,200,93
200004,83,-24
200104,173,66
200204,175,68
200304,108,1
200404,93,-14
200504,88,-19
200604,202,95
200704,69,-38
200804,110,3
200904,93,-14
201004,123,16
201104,188,81
201204,163,56
201304,78,-29
201404,93,-14
201504,185,78
