North Carolina, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,301,28
189606,267,-6
189706,306,33
189806,314,41
189906,330,57
190006,290,17
190106,266,-7
190206,286,13
190306,179,-94
190406,258,-15
190506,290,17
190606,288,15
190706,163,-110
190806,241,-32
190906,317,44
191006,193,-80
191106,347,74
191206,220,-53
191306,253,-20
191406,378,105
191506,213,-60
191606,222,-51
191706,259,-14
191806,247,-26
191906,263,-10
192006,257,-16
192106,319,46
192206,313,40
192306,317,44
192406,307,34
192506,369,96
192606,255,-18
192706,207,-66
192806,254,-19
192906,228,-45
193006,237,-36
193106,293,20
193206,301,28
193306,332,59
193406,352,79
193506,304,31
193606,281,8
193706,333,60
193806,228,-45
193906,384,111
194006,326,53
194106,285,12
194206,334,61
194306,409,136
194406,368,95
194506,313,40
194606,262,-11
194706,251,-22
194806,295,22
194906,304,31
195006,285,12
195106,295,22
195206,420,147
195306,294,21
195406,297,24
195506,166,-107
195606,282,9
195706,304,31
195806,251,-22
195906,267,-6
196006,273,0
196106,214,-59
196206,237,-36
196306,228,-45
196406,298,25
196506,198,-75
196606,199,-74
196706,183,-90
196806,249,-24
196906,305,32
197006,257,-16
197106,299,26
197206,159,-114
197306,284,11
197406,188,-85
197506,260,-13
197606,215,-58
197706,245,-28
197806,269,-4
197906,167,-106
198006,231,-42
198106,373,100
198206,242,-31
198306,224,-49
198406,296,23
198506,276,3
198606,350,77
198706,308,35
198806,231,-42
198906,315,42
199006,275,2
199106,283,10
199206,189,-84
199306,298,25
199406,325,52
199506,232,-41
199606,284,11
199706,183,-90
199806,339,66
199906,238,-35
200006,314,41
200106,293,20
200206,323,50
200306,237,-36
200406,293,20
200506,268,-5
200606,258,-15
200706,287,14
200806,379,106
200906,312,39
201006,422,149
201106,372,99
201206,235,-38
201306,288,15
201406,321,48
201506,381,108
