Missouri, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,256,9
189606,234,-13
189706,261,14
189806,307,60
189906,276,29
190006,242,-5
190106,372,125
190206,184,-63
190306,109,-138
190406,178,-69
190506,295,48
190606,210,-37
190706,171,-76
190806,196,-51
190906,244,-3
191006,177,-70
191106,406,159
191206,152,-95
191306,306,59
191406,409,162
191506,169,-78
191606,157,-90
191706,185,-62
191806,342,95
191906,292,45
192006,227,-20
192106,333,86
192206,318,71
192306,250,3
192406,220,-27
192506,326,79
192606,178,-69
192706,164,-83
192806,116,-131
192906,190,-57
193006,217,-30
193106,343,96
193206,287,40
193306,383,136
193406,445,198
193506,151,-96
193606,322,75
193706,259,12
193806,209,-38
193906,268,21
194006,248,1
194106,259,12
194206,234,-13
194306,301,54
194406,320,73
194506,141,-106
194606,250,3
194706,209,-38
194806,230,-17
194906,289,42
195006,221,-26
195106,171,-76
195206,438,191
195306,428,181
195406,341,94
195506,146,-101
195606,279,32
195706,242,-5
195806,190,-57
195906,258,11
196006,214,-33
196106,183,-64
196206,228,-19
196306,308,61
196406,230,-17
196506,232,-15
196606,201,-46
196706,217,-30
196806,278,31
196906,176,-71
197006,207,-40
197106,348,101
197206,232,-15
197306,258,11
197406,146,-101
197506,254,7
197606,191,-56
197706,282,35
197806,250,3
197906,225,-22
198006,281,34
198106,271,24
198206,137,-110
198306,219,-28
198406,291,44
198506,170,-77
198606,320,73
198706,315,68
198806,310,63
198906,183,-64
199006,266,19
199106,315,68
199206,169,-78
199306,219,-28
199406,302,55
199506,212,-35
199606,237,-10
199706,209,-38
199806,252,5
199906,233,-14
200006,195,-52
200106,209,-38
200206,296,49
200306,154,-93
200406,186,-61
200506,307,60
200606,256,9
200706,256,9
200806,258,11
200906,286,39
201006,358,111
201106,313,66
201206,295,48
201306,243,-4
201406,266,19
201506,276,29
