Oklahoma, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,384,18
189606,387,21
189706,376,10
189806,397,31
189906,353,-13
190006,392,26
190106,453,87
190206,380,14
190306,191,-175
190406,306,-60
190506,409,43
190606,313,-53
190706,311,-55
190806,315,-51
190906,365,-1
191006,349,-17
191106,591,225
191206,273,-93
191306,352,-14
191406,508,142
191506,289,-77
191606,314,-52
191706,350,-16
191806,507,141
191906,309,-57
192006,310,-56
192106,352,-14
192206,383,17
192306,373,7
192406,461,95
192506,532,166
192606,348,-18
192706,332,-34
192806,279,-87
192906,361,-5
193006,344,-22
193106,438,72
193206,372,6
193306,461,95
193406,531,165
193506,285,-81
193606,473,107
193706,408,42
193806,352,-14
193906,399,33
194006,320,-46
194106,307,-59
194206,360,-6
194306,438,72
194406,429,63
194506,302,-64
194606,344,-22
194706,375,9
194806,386,20
194906,396,30
195006,355,-11
195106,310,-56
195206,521,155
195306,592,226
195406,423,57
195506,275,-91
195606,427,61
195706,318,-48
195806,388,22
195906,350,-16
196006,375,9
196106,279,-87
196206,309,-57
196306,425,59
196406,364,-2
196506,343,-23
196606,349,-17
196706,349,-17
196806,334,-32
196906,312,-54
197006,342,-24
197106,416,50
197206,391,25
197306,322,-44
197406,279,-87
197506,325,-41
197606,288,-78
197706,441,75
197806,363,-3
197906,320,-46
198006,461,95
198106,401,35
198206,242,-124
198306,259,-107
198406,410,44
198506,323,-43
198606,390,24
198706,352,-14
198806,384,18
198906,259,-107
199006,460,94
199106,379,13
199206,252,-114
199306,340,-26
199406,450,84
199506,273,-93
199606,374,8
199706,292,-74
199806,449,83
199906,308,-58
200006,274,-92
200106,349,-17
200206,355,-11
200306,263,-103
200406,296,-70
200506,380,14
200606,381,15
200706,314,-52
200806,388,22
200906,436,70
201006,478,112
201106,552,186
201206,410,44
201306,382,16
201406,368,2
201506,409,43
