Indiana, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,76,10
189605,169,103
189705,25,-41
189805,66,0
189905,84,18
190005,95,29
190105,43,-23
190205,114,48
190305,103,37
190405,55,-11
190505,71,5
190605,76,10
190705,17,-49
190805,75,9
190905,36,-30
191005,20,-46
191105,137,71
191205,85,19
191305,64,-2
191405,85,19
191505,35,-31
191605,75,9
191705,14,-52
191805,133,67
191905,33,-33
192005,42,-24
192105,90,24
192205,113,47
192305,38,-28
192405,14,-52
192505,24,-42
192605,73,7
192705,47,-19
192805,46,-20
192905,34,-32
193005,74,8
193105,31,-35
193205,63,-3
193305,92,26
193405,115,49
193505,22,-44
193605,102,36
193705,61,-5
193805,60,-6
193905,94,28
194005,29,-37
194105,99,33
194205,73,7
194305,60,-6
194405,142,76
194505,22,-44
194605,36,-30
194705,29,-37
194805,43,-23
194905,78,12
195005,78,12
195105,82,16
195205,50,-16
195305,90,24
195405,23,-43
195505,81,15
195605,66,0
195705,61,-5
195805,51,-15
195905,120,54
196005,33,-33
196105,21,-45
196205,158,92
196305,38,-28
196405,111,45
196505,146,80
196605,22,-44
196705,25,-41
196805,29,-37
196905,63,-3
197005,99,33
197105,27,-39
197205,83,17
197305,28,-38
197405,46,-20
197505,110,44
197605,31,-35
197705,164,98
197805,41,-25
197905,43,-23
198005,71,5
198105,29,-37
198205,141,75
198305,28,-38
198405,30,-36
198505,90,24
198605,76,10
198705,137,71
198805,83,17
198905,30,-36
199005,33,-33
199105,164,98
199205,41,-25
199305,70,4
199405,32,-34
199505,46,-20
199605,52,-14
199705,19,-47
199805,132,66
199905,90,24
200005,97,31
200105,94,28
200205,32,-34
200305,50,-16
200405,123,57
200505,38,-28
200605,46,-20
200705,129,63
200805,29,-37
200905,66,0
201005,98,32
201105,69,3
201205,152,86
201305,102,36
201405,77,11
201505,109,43
