New York, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,146,-6
189608,161,9
189708,100,-52
189808,182,30
189908,145,-7
190008,221,69
190108,165,13
190208,92,-60
190308,42,-110
190408,93,-59
190508,97,-55
190608,196,44
190708,96,-56
190808,115,-37
190908,97,-55
191008,104,-48
191108,134,-18
191208,81,-71
191308,133,-19
191408,150,-2
191508,94,-58
191608,174,22
191708,184,32
191808,184,32
191908,88,-64
192008,159,7
192108,95,-57
192208,115,-37
192308,98,-54
192408,131,-21
192508,131,-21
192608,149,-3
192708,52,-100
192808,197,45
192908,95,-57
193008,126,-26
193108,168,16
193208,170,18
193308,148,-4
193408,91,-61
193508,155,3
193608,173,21
193708,243,91
193808,228,76
193908,232,80
194008,92,-60
194108,119,-33
194208,127,-25
194308,156,4
194408,220,68
194508,134,-18
194608,82,-70
194708,223,71
194808,179,27
194908,205,53
195008,125,-27
195108,139,-13
195208,166,14
195308,152,0
195408,110,-42
195508,264,112
195608,144,-8
195708,106,-46
195808,150,-2
195908,242,90
196008,151,-1
196108,167,15
196208,121,-31
196308,104,-48
196408,97,-55
196508,147,-5
196608,174,22
196708,138,-14
196808,162,10
196908,200,48
197008,198,46
197108,148,-4
197208,136,-16
197308,244,92
197408,174,22
197508,170,18
197608,140,-12
197708,160,8
197808,193,41
197908,154,2
198008,242,90
198108,152,0
198208,105,-47
198308,200,48
198408,213,61
198508,151,-1
198608,116,-36
198708,125,-27
198808,239,87
198908,159,7
199008,184,32
199108,214,62
199208,106,-46
199308,193,41
199408,121,-31
199508,217,65
199608,168,16
199708,141,-11
199808,216,64
199908,172,20
200008,134,-18
200108,262,110
200208,237,85
200308,237,85
200408,155,3
200508,281,129
200608,195,43
200708,190,38
200808,130,-22
200908,221,69
201008,222,70
201108,202,50
201208,227,75
201308,152,0
201408,146,-6
201508,226,74
