Illinois, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,236,63
189606,170,-3
189706,150,-23
189806,210,37
189906,205,32
190006,147,-26
190106,235,62
190206,106,-67
190306,70,-103
190406,125,-48
190506,167,-6
190606,141,-32
190706,107,-66
190806,137,-36
190906,151,-22
191006,139,-34
191106,260,87
191206,108,-65
191306,204,31
191406,206,33
191506,93,-80
191606,72,-101
191706,93,-80
191806,157,-16
191906,250,77
192006,174,1
192106,287,114
192206,204,31
192306,216,43
192406,113,-60
192506,219,46
192606,88,-85
192706,91,-82
192806,75,-98
192906,105,-68
193006,162,-11
193106,242,69
193206,210,37
193306,343,170
193406,328,155
193506,93,-80
193606,151,-22
193706,141,-32
193806,131,-42
193906,208,35
194006,183,10
194106,187,14
194206,175,2
194306,240,67
194406,254,81
194506,93,-80
194606,157,-16
194706,114,-59
194806,149,-24
194906,250,77
195006,147,-26
195106,110,-63
195206,281,108
195306,264,91
195406,270,97
195506,110,-63
195606,230,57
195706,176,3
195806,79,-94
195906,210,37
196006,126,-47
196106,152,-21
196206,174,1
196306,213,40
196406,210,37
196506,161,-12
196606,177,4
196706,199,26
196806,200,27
196906,99,-74
197006,156,-17
197106,280,107
197206,111,-62
197306,206,33
197406,101,-72
197506,196,23
197606,179,6
197706,147,-26
197806,182,9
197906,181,8
198006,139,-34
198106,200,27
198206,83,-90
198306,197,24
198406,237,64
198506,124,-49
198606,177,4
198706,260,87
198806,240,67
198906,153,-20
199006,183,10
199106,270,97
199206,116,-57
199306,143,-30
199406,221,48
199506,215,42
199606,166,-7
199706,160,-13
199806,176,3
199906,201,28
200006,146,-27
200106,141,-32
200206,226,53
200306,108,-65
200406,142,-31
200506,287,114
200606,160,-13
200706,205,32
200806,208,35
200906,178,5
201006,234,61
201106,197,24
201206,217,44
201306,165,-8
201406,203,30
201506,158,-15
