South Carolina, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,366,105
189609,282,21
189709,262,1
189809,302,41
189909,239,-22
190009,362,101
190109,246,-15
190209,211,-50
190309,222,-39
190409,271,10
190509,319,58
190609,352,91
190709,316,55
190809,204,-57
190909,208,-53
191009,304,43
191109,396,135
191209,354,93
191309,184,-77
191409,177,-84
191509,308,47
191609,206,-55
191709,177,-84
191809,141,-120
191909,249,-12
192009,307,46
192109,440,179
192209,298,37
192309,298,37
192409,165,-96
192509,490,229
192609,364,103
192709,308,47
192809,210,-51
192909,231,-30
193009,361,100
193109,367,106
193209,245,-16
193309,374,113
193409,318,57
193509,246,-15
193609,320,59
193709,200,-61
193809,272,11
193909,328,67
194009,213,-48
194109,328,67
194209,289,28
194309,180,-81
194409,309,48
194509,342,81
194609,225,-36
194709,282,21
194809,200,-61
194909,201,-60
195009,205,-56
195109,269,8
195209,223,-38
195309,237,-24
195409,356,95
195509,284,23
195609,189,-72
195709,294,33
195809,254,-7
195909,244,-17
196009,267,6
196109,293,32
196209,216,-45
196309,177,-84
196409,223,-38
196509,262,1
196609,215,-46
196709,106,-155
196809,224,-37
196909,193,-68
197009,328,67
197109,283,22
197209,278,17
197309,324,63
197409,205,-56
197509,241,-20
197609,191,-70
197709,308,47
197809,303,42
197909,238,-23
198009,358,97
198109,196,-65
198209,200,-61
198309,223,-38
198409,183,-78
198509,227,-34
198609,288,27
198709,267,6
198809,236,-25
198909,239,-22
199009,270,9
199109,251,-10
199209,243,-18
199309,305,44
199409,196,-65
199509,210,-51
199609,234,-27
199709,254,-7
199809,308,47
199909,213,-48
200009,218,-43
200109,190,-71
200209,318,57
200309,221,-40
200409,242,-19
200509,360,99
200609,220,-41
200709,318,57
200809,261,0
200909,262,1
201009,345,84
201109,270,9
201209,254,-7
201309,255,-6
201409,274,13
201509,274,13
