Ohio, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,129,57
189609,34,-38
189709,85,13
189809,116,44
189909,55,-17
190009,141,69
190109,63,-9
190209,50,-22
190309,75,3
190409,72,0
190509,71,-1
190609,131,59
190709,76,4
190809,114,42
190909,43,-29
191009,86,14
191109,109,37
191209,100,28
191309,55,-17
191409,45,-27
191509,92,20
191609,44,-28
191709,28,-44
191809,8,-64
191909,87,15
192009,81,9
192109,150,78
192209,108,36
192309,69,-3
192409,19,-53
192509,145,73
192609,86,14
192709,105,33
192809,23,-49
192909,67,-5
193009,98,26
193109,146,74
193209,73,1
193309,126,54
193409,100,28
193509,49,-23
193609,126,54
193709,34,-38
193809,65,-7
193909,144,72
194009,33,-39
194109,114,42
194209,54,-18
194309,32,-40
194409,60,-12
194509,104,32
194609,71,-1
194709,79,7
194809,83,11
194909,18,-54
195009,43,-29
195109,45,-27
195209,59,-13
195309,73,1
195409,102,30
195509,96,24
195609,29,-43
195709,65,-7
195809,59,-13
195909,113,41
196009,109,37
196109,137,65
196209,28,-44
196309,38,-34
196409,65,-7
196509,95,23
196609,32,-40
196709,23,-49
196809,73,1
196909,51,-21
197009,126,54
197109,111,39
197209,79,7
197309,100,28
197409,22,-50
197509,21,-51
197609,28,-44
197709,100,28
197809,121,49
197909,58,-14
198009,93,21
198109,41,-31
198209,46,-26
198309,80,8
198409,39,-33
198509,80,8
198609,105,33
198709,75,3
198809,53,-19
198909,50,-22
199009,64,-8
199109,63,-9
199209,46,-26
199309,39,-33
199409,50,-22
199509,38,-34
199609,55,-17
199709,47,-25
199809,125,53
199909,72,0
200009,51,-21
200109,40,-32
200209,131,59
200309,45,-27
200409,92,20
200509,120,48
200609,37,-35
200709,116,44
200809,106,34
200909,69,-3
201009,91,19
201109,64,-8
201209,52,-20
201309,69,-3
201409,59,-13
201509,135,63
