Louisiana, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,455,8
189606,462,15
189706,492,45
189806,465,18
189906,458,11
190006,451,4
190106,493,46
190206,510,63
190306,338,-109
190406,453,6
190506,496,49
190606,505,58
190706,421,-26
190806,477,30
190906,450,3
191006,390,-57
191106,534,87
191206,386,-61
191306,409,-38
191406,546,99
191506,510,63
191606,453,6
191706,437,-10
191806,522,75
191906,405,-42
192006,399,-48
192106,451,4
192206,457,10
192306,422,-25
192406,505,58
192506,480,33
192606,438,-9
192706,453,6
192806,414,-33
192906,435,-12
193006,414,-33
193106,431,-16
193206,479,32
193306,408,-39
193406,487,40
193506,423,-24
193606,495,48
193706,463,16
193806,436,-11
193906,462,15
194006,396,-51
194106,432,-15
194206,442,-5
194306,500,53
194406,498,51
194506,459,12
194606,390,-57
194706,464,17
194806,488,41
194906,471,24
195006,438,-9
195106,468,21
195206,507,60
195306,539,92
195406,473,26
195506,363,-84
195606,394,-53
195706,446,-1
195806,469,22
195906,430,-17
196006,469,22
196106,359,-88
196206,430,-17
196306,459,12
196406,443,-4
196506,421,-26
196606,385,-62
196706,445,-2
196806,438,-9
196906,456,9
197006,407,-40
197106,451,4
197206,454,7
197306,439,-8
197406,376,-71
197506,424,-23
197606,367,-80
197706,497,50
197806,461,14
197906,420,-27
198006,481,34
198106,492,45
198206,463,16
198306,369,-78
198406,409,-38
198506,452,5
198606,466,19
198706,422,-25
198806,409,-38
198906,400,-47
199006,504,57
199106,453,6
199206,421,-26
199306,447,0
199406,457,10
199506,405,-42
199606,426,-21
199706,410,-37
199806,548,101
199906,450,3
200006,452,5
200106,409,-38
200206,426,-21
200306,446,-1
200406,440,-7
200506,462,15
200606,474,27
200706,458,11
200806,486,39
200906,502,55
201006,551,104
201106,561,114
201206,473,26
201306,486,39
201406,451,4
201506,472,25
