New Hampshire, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,8,5
189605,9,6
189705,0,-3
189805,0,-3
189905,0,-3
190005,0,-3
190105,0,-3
190205,0,-3
190305,6,3
190405,12,9
190505,0,-3
190605,0,-3
190705,0,-3
190805,6,3
190905,0,-3
191005,0,-3
191105,21,18
191205,0,-3
191305,0,-3
191405,0,-3
191505,0,-3
191605,0,-3
191705,0,-3
191805,15,12
191905,0,-3
192005,0,-3
192105,0,-3
192205,6,3
192305,0,-3
192405,0,-3
192505,0,-3
192605,0,-3
192705,0,-3
192805,0,-3
192905,0,-3
193005,5,2
193105,0,-3
193205,0,-3
193305,6,3
193405,6,3
193505,0,-3
193605,8,5
193705,0,-3
193805,0,-3
193905,0,-3
194005,0,-3
194105,0,-3
194205,11,8
194305,0,-3
194405,13,10
194505,0,-3
194605,0,-3
194705,0,-3
194805,0,-3
194905,0,-3
195005,0,-3
195105,0,-3
195205,0,-3
195305,6,3
195405,0,-3
195505,11,8
195605,0,-3
195705,0,-3
195805,0,-3
195905,11,8
196005,8,5
196105,0,-3
196205,0,-3
196305,0,-3
196405,8,5
196505,7,4
196605,0,-3
196705,0,-3
196805,0,-3
196905,0,-3
197005,6,3
197105,0,-3
197205,0,-3
197305,0,-3
197405,0,-3
197505,16,13
197605,0,-3
197705,8,5
197805,6,3
197905,6,3
198005,0,-3
198105,6,3
198205,6,3
198305,0,-3
198405,0,-3
198505,0,-3
198605,6,3
198705,0,-3
198805,6,3
198905,7,4
199005,0,-3
199105,14,11
199205,0,-3
199305,6,3
199405,0,-3
199505,0,-3
199605,0,-3
199705,0,-3
199805,14,11
199905,6,3
200005,0,-3
200105,6,3
200205,0,-3
200305,0,-3
200405,7,4
200505,0,-3
200605,0,-3
200705,6,3
200805,0,-3
200905,0,-3
201005,12,9
201105,8,5
201205,12,9
201305,6,3
201405,0,-3
201505,22,19
