Tennessee, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,16,0
189604,68,52
189704,13,-3
189804,2,-14
189904,9,-7
190004,16,0
190104,2,-14
190204,8,-8
190304,8,-8
190404,1,-15
190504,14,-2
190604,25,9
190704,0,-16
190804,31,15
190904,15,-1
191004,10,-6
191104,8,-8
191204,23,7
191304,10,-6
191404,14,-2
191504,29,13
191604,6,-10
191704,16,0
191804,7,-9
191904,15,-1
192004,6,-10
192104,16,0
192204,34,18
192304,8,-8
192404,14,-2
192504,50,34
192604,4,-12
192704,40,24
192804,3,-13
192904,29,13
193004,25,9
193104,7,-9
193204,17,1
193304,9,-7
193404,15,-1
193504,10,-6
193604,4,-12
193704,10,-6
193804,22,6
193904,5,-11
194004,7,-9
194104,32,16
194204,23,7
194304,9,-7
194404,7,-9
194504,24,8
194604,33,17
194704,22,6
194804,43,27
194904,6,-10
195004,2,-14
195104,4,-12
195204,9,-7
195304,4,-12
195404,54,38
195504,40,24
195604,7,-9
195704,34,18
195804,12,-4
195904,14,-2
196004,25,9
196104,2,-14
196204,4,-12
196304,27,11
196404,30,14
196504,34,18
196604,9,-7
196704,44,28
196804,16,0
196904,18,2
197004,24,8
197104,9,-7
197204,18,2
197304,6,-10
197404,11,-5
197504,6,-10
197604,14,-2
197704,34,18
197804,25,9
197904,13,-3
198004,5,-11
198104,54,38
198204,2,-14
198304,0,-16
198404,7,-9
198504,25,9
198604,22,6
198704,6,-10
198804,10,-6
198904,8,-8
199004,6,-10
199104,33,17
199204,10,-6
199304,4,-12
199404,28,12
199504,18,2
199604,4,-12
199704,1,-15
199804,9,-7
199904,38,22
200004,5,-11
200104,41,25
200204,33,17
200304,22,6
200404,11,-5
200504,14,-2
200604,59,43
200704,5,-11
200804,11,-5
200904,12,-4
201004,34,18
201104,34,18
201204,26,10
201304,9,-7
201404,16,0
201504,26,10
