Wyoming, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,8,-25
189606,48,15
189706,28,-5
189806,32,-1
189906,16,-17
190006,84,51
190106,12,-21
190206,21,-12
190306,19,-14
190406,12,-21
190506,19,-14
190606,13,-20
190706,12,-21
190806,13,-20
190906,32,-1
191006,49,16
191106,65,32
191206,20,-13
191306,40,7
191406,29,-4
191506,6,-27
191606,13,-20
191706,12,-21
191806,78,45
191906,62,29
192006,18,-15
192106,49,16
192206,52,19
192306,24,-9
192406,20,-13
192506,22,-11
192606,29,-4
192706,20,-13
192806,5,-28
192906,18,-15
193006,22,-11
193106,76,43
193206,29,-4
193306,90,57
193406,43,10
193506,22,-11
193606,74,41
193706,20,-13
193806,39,6
193906,20,-13
194006,61,28
194106,25,-8
194206,16,-17
194306,18,-15
194406,14,-19
194506,5,-28
194606,30,-3
194706,7,-26
194806,31,-2
194906,22,-11
195006,18,-15
195106,4,-29
195206,58,25
195306,45,12
195406,31,-2
195506,13,-20
195606,81,48
195706,19,-14
195806,28,-5
195906,65,32
196006,41,8
196106,59,26
196206,22,-11
196306,39,6
196406,19,-14
196506,19,-14
196606,27,-6
196706,10,-23
196806,24,-9
196906,7,-26
197006,30,-3
197106,42,9
197206,46,13
197306,32,-1
197406,52,19
197506,13,-20
197606,22,-11
197706,82,49
197806,30,-3
197906,29,-4
198006,49,16
198106,40,7
198206,12,-21
198306,19,-14
198406,23,-10
198506,28,-5
198606,71,38
198706,48,15
198806,135,102
198906,23,-10
199006,48,15
199106,43,10
199206,31,-2
199306,11,-22
199406,63,30
199506,16,-17
199606,54,21
199706,48,15
199806,7,-26
199906,23,-10
200006,32,-1
200106,49,16
200206,70,37
200306,17,-16
200406,19,-14
200506,31,-2
200606,82,49
200706,57,24
200806,20,-13
200906,16,-17
201006,28,-5
201106,24,-9
201206,93,60
201306,56,23
201406,21,-12
201506,78,45
