Tennessee, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,316,45
189606,250,-21
189706,310,39
189806,353,82
189906,348,77
190006,271,0
190106,336,65
190206,305,34
190306,135,-136
190406,257,-14
190506,309,38
190606,287,16
190706,196,-75
190806,265,-6
190906,294,23
191006,180,-91
191106,346,75
191206,191,-80
191306,299,28
191406,437,166
191506,242,-29
191606,215,-56
191706,212,-59
191806,306,35
191906,319,48
192006,225,-46
192106,375,104
192206,309,38
192306,266,-5
192406,308,37
192506,386,115
192606,231,-40
192706,230,-41
192806,189,-82
192906,246,-25
193006,249,-22
193106,321,50
193206,320,49
193306,312,41
193406,346,75
193506,204,-67
193606,364,93
193706,321,50
193806,215,-56
193906,319,48
194006,261,-10
194106,313,42
194206,317,46
194306,401,130
194406,366,95
194506,234,-37
194606,248,-23
194706,246,-25
194806,295,24
194906,296,25
195006,255,-16
195106,274,3
195206,462,191
195306,402,131
195406,313,42
195506,142,-129
195606,250,-21
195706,300,29
195806,263,-8
195906,229,-42
196006,251,-20
196106,185,-86
196206,250,-21
196306,254,-17
196406,301,30
196506,235,-36
196606,219,-52
196706,246,-25
196806,259,-12
196906,278,7
197006,219,-52
197106,315,44
197206,183,-88
197306,292,21
197406,146,-125
197506,253,-18
197606,210,-61
197706,276,5
197806,270,-1
197906,215,-56
198006,259,-12
198106,323,52
198206,207,-64
198306,214,-57
198406,307,36
198506,249,-22
198606,314,43
198706,303,32
198806,265,-6
198906,227,-44
199006,272,1
199106,281,10
199206,178,-93
199306,263,-8
199406,318,47
199506,220,-51
199606,259,-12
199706,192,-79
199806,328,57
199906,285,14
200006,279,8
200106,219,-52
200206,303,32
200306,182,-89
200406,267,-4
200506,274,3
200606,252,-19
200706,309,38
200806,316,45
200906,321,50
201006,403,132
201106,346,75
201206,265,-6
201306,282,11
201406,298,27
201506,331,60
