Louisiana, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,453,76
189609,369,-8
189709,369,-8
189809,404,27
189909,302,-75
190009,495,118
190109,338,-39
190209,352,-25
190309,310,-67
190409,423,46
190509,425,48
190609,442,65
190709,406,29
190809,363,-14
190909,387,10
191009,428,51
191109,513,136
191209,449,72
191309,324,-53
191409,371,-6
191509,420,43
191609,344,-33
191709,320,-57
191809,264,-113
191909,385,8
192009,446,69
192109,496,119
192209,394,17
192309,377,0
192409,361,-16
192509,497,120
192609,469,92
192709,406,29
192809,325,-52
192909,365,-12
193009,381,4
193109,452,75
193209,369,-8
193309,495,118
193409,338,-39
193509,345,-32
193609,464,87
193709,357,-20
193809,351,-26
193909,432,55
194009,298,-79
194109,429,52
194209,303,-74
194309,301,-76
194409,397,20
194509,414,37
194609,351,-26
194709,417,40
194809,308,-69
194909,353,-24
195009,356,-21
195109,392,15
195209,322,-55
195309,363,-14
195409,429,52
195509,428,51
195609,337,-40
195709,313,-64
195809,407,30
195909,389,12
196009,371,-6
196109,355,-22
196209,401,24
196309,373,-4
196409,372,-5
196509,383,6
196609,340,-37
196709,260,-117
196809,296,-81
196909,341,-36
197009,427,50
197109,376,-1
197209,461,84
197309,389,12
197409,290,-87
197509,270,-107
197609,332,-45
197709,431,54
197809,407,30
197909,318,-59
198009,489,112
198109,321,-56
198209,325,-52
198309,305,-72
198409,323,-54
198509,351,-26
198609,458,81
198709,351,-26
198809,387,10
198909,318,-59
199009,414,37
199109,341,-36
199209,357,-20
199309,400,23
199409,330,-47
199509,388,11
199609,343,-34
199709,414,37
199809,468,91
199909,337,-40
200009,388,11
200109,334,-43
200209,418,41
200309,348,-29
200409,401,24
200509,496,119
200609,349,-28
200709,422,45
200809,331,-46
200909,393,16
201009,449,72
201109,338,-39
201209,385,8
201309,451,74
201409,409,32
201509,403,26
