Indiana, Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,232,-58
189607,280,-10
189707,348,58
189807,322,32
189907,297,7
190007,291,1
190107,472,182
190207,301,11
190307,285,-5
190407,223,-67
190507,250,-40
190607,240,-50
190707,266,-24
190807,291,1
190907,206,-84
191007,285,-5
191107,286,-4
191207,277,-13
191307,351,61
191407,357,67
191507,217,-73
191607,422,132
191707,249,-41
191807,211,-79
191907,365,75
192007,219,-71
192107,447,157
192207,254,-36
192307,280,-10
192407,188,-102
192507,262,-28
192607,297,7
192707,252,-38
192807,271,-19
192907,283,-7
193007,342,52
193107,385,95
193207,318,28
193307,339,49
193407,452,162
193507,364,74
193607,475,185
193707,269,-21
193807,295,5
193907,273,-17
194007,300,10
194107,317,27
194207,313,23
194307,312,22
194407,310,20
194507,223,-67
194607,278,-12
194707,176,-114
194807,293,3
194907,389,99
195007,204,-86
195107,257,-33
195207,359,69
195307,311,21
195407,338,48
195507,418,128
195607,250,-40
195707,292,2
195807,247,-43
195907,272,-18
196007,214,-76
196107,254,-36
196207,220,-70
196307,242,-48
196407,283,-7
196507,213,-77
196607,356,66
196707,199,-91
196807,274,-16
196907,303,13
197007,259,-31
197107,202,-88
197207,249,-41
197307,295,5
197407,306,16
197507,249,-41
197607,250,-40
197707,356,66
197807,265,-25
197907,217,-73
198007,364,74
198107,276,-14
198207,292,2
198307,390,100
198407,204,-86
198507,259,-31
198607,346,56
198707,319,29
198807,347,57
198907,293,3
199007,240,-50
199107,323,33
199207,227,-63
199307,336,46
199407,257,-33
199507,314,24
199607,203,-87
199707,267,-23
199807,260,-30
199907,394,104
200007,213,-77
200107,266,-24
200207,364,74
200307,245,-45
200407,219,-71
200507,305,15
200607,316,26
200707,214,-76
200807,255,-35
200907,146,-144
201007,346,56
201107,421,131
201207,463,173
201307,226,-64
201407,143,-147
201507,237,-53
