Maine, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,0,-2
189609,0,-2
189709,0,-2
189809,5,3
189909,0,-2
190009,2,0
190109,5,3
190209,0,-2
190309,2,0
190409,0,-2
190509,0,-2
190609,0,-2
190709,0,-2
190809,10,8
190909,0,-2
191009,0,-2
191109,0,-2
191209,0,-2
191309,0,-2
191409,0,-2
191509,7,5
191609,0,-2
191709,0,-2
191809,0,-2
191909,0,-2
192009,2,0
192109,8,6
192209,0,-2
192309,0,-2
192409,0,-2
192509,0,-2
192609,0,-2
192709,0,-2
192809,0,-2
192909,2,0
193009,10,8
193109,5,3
193209,6,4
193309,0,-2
193409,12,10
193509,0,-2
193609,0,-2
193709,6,4
193809,0,-2
193909,0,-2
194009,0,-2
194109,0,-2
194209,3,1
194309,0,-2
194409,3,1
194509,7,5
194609,7,5
194709,2,0
194809,3,1
194909,0,-2
195009,0,-2
195109,0,-2
195209,5,3
195309,2,0
195409,0,-2
195509,0,-2
195609,0,-2
195709,6,4
195809,0,-2
195909,7,5
196009,0,-2
196109,36,34
196209,0,-2
196309,0,-2
196409,0,-2
196509,0,-2
196609,0,-2
196709,0,-2
196809,8,6
196909,0,-2
197009,0,-2
197109,10,8
197209,0,-2
197309,0,-2
197409,0,-2
197509,0,-2
197609,0,-2
197709,0,-2
197809,0,-2
197909,0,-2
198009,0,-2
198109,0,-2
198209,2,0
198309,14,12
198409,0,-2
198509,5,3
198609,0,-2
198709,0,-2
198809,0,-2
198909,0,-2
199009,0,-2
199109,0,-2
199209,0,-2
199309,0,-2
199409,0,-2
199509,0,-2
199609,2,0
199709,0,-2
199809,6,4
199909,37,35
200009,0,-2
200109,8,6
200209,16,14
200309,11,9
200409,5,3
200509,16,14
200609,5,3
200709,8,6
200809,2,0
200909,0,-2
201009,13,11
201109,15,13
201209,0,-2
201309,5,3
201409,5,3
201509,40,38
