Minnesota, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,76,-9
189606,94,9
189706,43,-42
189806,85,0
189906,81,-4
190006,93,8
190106,83,-2
190206,33,-52
190306,44,-41
190406,49,-36
190506,52,-33
190606,60,-25
190706,55,-30
190806,49,-36
190906,78,-7
191006,121,36
191106,162,77
191206,44,-41
191306,118,33
191406,72,-13
191506,23,-62
191606,26,-59
191706,30,-55
191806,72,-13
191906,121,36
192006,82,-3
192106,173,88
192206,106,21
192306,135,50
192406,38,-47
192506,68,-17
192606,35,-50
192706,46,-39
192806,26,-59
192906,52,-33
193006,87,2
193106,164,79
193206,134,49
193306,243,158
193406,136,51
193506,34,-51
193606,60,-25
193706,64,-21
193806,80,-5
193906,94,9
194006,75,-10
194106,94,9
194206,61,-24
194306,105,20
194406,98,13
194506,22,-63
194606,71,-14
194706,39,-46
194806,67,-18
194906,133,48
195006,83,-2
195106,38,-47
195206,112,27
195306,112,27
195406,114,29
195506,84,-1
195606,147,62
195706,63,-22
195806,25,-60
195906,118,33
196006,52,-33
196106,107,22
196206,72,-13
196306,128,43
196406,91,6
196506,68,-17
196606,97,12
196706,69,-16
196806,78,-7
196906,19,-66
197006,122,37
197106,141,56
197206,75,-10
197306,102,17
197406,67,-18
197506,85,0
197606,128,43
197706,97,12
197806,81,-4
197906,70,-15
198006,85,0
198106,75,-10
198206,29,-56
198306,78,-7
198406,99,14
198506,40,-45
198606,101,16
198706,151,66
198806,190,105
198906,75,-10
199006,106,21
199106,153,68
199206,52,-33
199306,44,-41
199406,112,27
199506,148,63
199606,95,10
199706,126,41
199806,58,-27
199906,87,2
200006,54,-31
200106,96,11
200206,128,43
200306,75,-10
200406,45,-40
200506,150,65
200606,107,22
200706,137,52
200806,73,-12
200906,62,-23
201006,84,-1
201106,76,-9
201206,128,43
201306,76,-9
201406,101,16
201506,92,7
