Connecticut, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,104,34
189606,35,-35
189706,18,-52
189806,71,1
189906,106,36
190006,75,5
190106,76,6
190206,34,-36
190306,6,-64
190406,42,-28
190506,40,-30
190606,66,-4
190706,19,-51
190806,92,22
190906,80,10
191006,36,-34
191106,50,-20
191206,47,-23
191306,61,-9
191406,44,-26
191506,40,-30
191606,13,-57
191706,58,-12
191806,24,-46
191906,90,20
192006,40,-30
192106,74,4
192206,92,22
192306,98,28
192406,35,-35
192506,152,82
192606,17,-53
192706,23,-47
192806,30,-40
192906,80,10
193006,128,58
193106,71,1
193206,60,-10
193306,100,30
193406,114,44
193506,58,-12
193606,67,-3
193706,80,10
193806,65,-5
193906,68,-2
194006,42,-28
194106,79,9
194206,79,9
194306,169,99
194406,78,8
194506,79,9
194606,50,-20
194706,34,-36
194806,46,-24
194906,139,69
195006,61,-9
195106,52,-18
195206,107,37
195306,89,19
195406,77,7
195506,46,-24
195606,90,20
195706,139,69
195806,13,-57
195906,54,-16
196006,75,5
196106,75,5
196206,78,8
196306,70,0
196406,55,-15
196506,56,-14
196606,84,14
196706,84,14
196806,50,-20
196906,77,7
197006,56,-14
197106,86,16
197206,35,-35
197306,120,50
197406,51,-19
197506,67,-3
197606,131,61
197706,44,-26
197806,63,-7
197906,53,-17
198006,39,-31
198106,88,18
198206,27,-43
198306,99,29
198406,112,42
198506,28,-42
198606,54,-16
198706,105,35
198806,67,-3
198906,93,23
199006,85,15
199106,119,49
199206,51,-19
199306,86,16
199406,137,67
199506,93,23
199606,94,24
199706,78,8
199806,62,-8
199906,137,67
200006,79,9
200106,125,55
200206,67,-3
200306,53,-17
200406,62,-8
200506,151,81
200606,98,28
200706,87,17
200806,134,64
200906,43,-27
201006,142,72
201106,96,26
201206,86,16
201306,112,42
201406,93,23
201506,65,-5
