North Dakota, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,33,-46
189606,98,19
189706,54,-25
189806,63,-16
189906,63,-16
190006,129,50
190106,60,-19
190206,24,-55
190306,61,-18
190406,48,-31
190506,35,-44
190606,62,-17
190706,63,-16
190806,47,-32
190906,81,2
191006,132,53
191106,137,58
191206,57,-22
191306,115,36
191406,68,-11
191506,19,-60
191606,25,-54
191706,36,-43
191806,72,-7
191906,136,57
192006,65,-14
192106,158,79
192206,96,17
192306,119,40
192406,30,-49
192506,52,-27
192606,47,-32
192706,56,-23
192806,28,-51
192906,56,-23
193006,78,-1
193106,151,72
193206,133,54
193306,211,132
193406,93,14
193506,44,-35
193606,122,43
193706,73,-6
193806,87,8
193906,45,-34
194006,72,-7
194106,93,14
194206,42,-37
194306,46,-33
194406,64,-15
194506,23,-56
194606,77,-2
194706,36,-43
194806,66,-13
194906,84,5
195006,66,-13
195106,27,-52
195206,103,24
195306,71,-8
195406,55,-24
195506,63,-16
195606,156,77
195706,48,-31
195806,28,-51
195906,120,41
196006,54,-25
196106,151,72
196206,83,4
196306,125,46
196406,65,-14
196506,65,-14
196606,81,2
196706,55,-24
196806,53,-26
196906,19,-60
197006,137,58
197106,102,23
197206,94,15
197306,88,9
197406,86,7
197506,73,-6
197606,115,36
197706,106,27
197806,77,-2
197906,81,2
198006,94,15
198106,48,-31
198206,32,-47
198306,74,-5
198406,79,0
198506,28,-51
198606,111,32
198706,142,63
198806,277,198
198906,63,-16
199006,92,13
199106,124,45
199206,50,-29
199306,31,-48
199406,91,12
199506,130,51
199606,106,27
199706,136,57
199806,40,-39
199906,71,-8
200006,44,-35
200106,72,-7
200206,117,38
200306,65,-14
200406,34,-45
200506,104,25
200606,110,31
200706,111,32
200806,47,-32
200906,49,-30
201006,77,-2
201106,67,-12
201206,113,34
201306,83,4
201406,72,-7
201506,103,24
