Arizona, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,388,-89
189606,551,74
189706,416,-61
189806,481,4
189906,449,-28
190006,489,12
190106,380,-97
190206,499,22
190306,426,-51
190406,473,-4
190506,443,-34
190606,448,-29
190706,345,-132
190806,407,-70
190906,480,3
191006,505,28
191106,454,-23
191206,508,31
191306,401,-76
191406,484,7
191506,441,-36
191606,457,-20
191706,487,10
191806,600,123
191906,491,14
192006,419,-58
192106,470,-7
192206,520,43
192306,364,-113
192406,559,82
192506,441,-36
192606,520,43
192706,433,-44
192806,472,-5
192906,476,-1
193006,489,12
193106,485,8
193206,435,-42
193306,487,10
193406,390,-87
193506,517,40
193606,568,91
193706,458,-19
193806,481,4
193906,486,9
194006,569,92
194106,378,-99
194206,445,-32
194306,440,-37
194406,351,-126
194506,364,-113
194606,527,50
194706,430,-47
194806,452,-25
194906,479,2
195006,444,-33
195106,397,-80
195206,446,-31
195306,470,-7
195406,444,-33
195506,437,-40
195606,562,85
195706,539,62
195806,540,63
195906,587,110
196006,588,111
196106,571,94
196206,433,-44
196306,381,-96
196406,432,-45
196506,313,-164
196606,491,14
196706,398,-79
196806,495,18
196906,419,-58
197006,505,28
197106,453,-24
197206,488,11
197306,496,19
197406,616,139
197506,432,-45
197606,483,6
197706,535,58
197806,551,74
197906,494,17
198006,504,27
198106,607,130
198206,413,-64
198306,424,-53
198406,473,-4
198506,552,75
198606,558,81
198706,542,65
198806,538,61
198906,514,37
199006,593,116
199106,392,-85
199206,462,-15
199306,486,9
199406,617,140
199506,424,-53
199606,587,110
199706,461,-16
199806,402,-75
199906,492,15
200006,570,93
200106,570,93
200206,602,125
200306,527,50
200406,519,42
200506,503,26
200606,640,163
200706,559,82
200806,583,106
200906,454,-23
201006,518,41
201106,521,44
201206,596,119
201306,619,142
201406,583,106
201506,604,127
