Texas, Cooling Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,10,-4
189601,9,-5
189701,5,-9
189801,18,4
189901,7,-7
190001,13,-1
190101,20,6
190201,10,-4
190301,10,-4
190401,7,-7
190501,7,-7
190601,10,-4
190701,50,36
190801,16,2
190901,28,14
191001,14,0
191101,38,24
191201,5,-9
191301,10,-4
191401,21,7
191501,6,-8
191601,28,14
191701,16,2
191801,3,-11
191901,5,-9
192001,6,-8
192101,31,17
192201,5,-9
192301,44,30
192401,3,-11
192501,6,-8
192601,5,-9
192701,20,6
192801,10,-4
192901,15,1
193001,1,-13
193101,9,-5
193201,19,5
193301,36,22
193401,18,4
193501,26,12
193601,6,-8
193701,13,-1
193801,17,3
193901,19,5
194001,1,-13
194101,19,5
194201,5,-9
194301,9,-5
194401,9,-5
194501,11,-3
194601,8,-6
194701,7,-7
194801,1,-13
194901,7,-7
195001,46,32
195101,12,-2
195201,48,34
195301,24,10
195401,18,4
195501,12,-2
195601,12,-2
195701,19,5
195801,6,-8
195901,5,-9
196001,8,-6
196101,3,-11
196201,3,-11
196301,1,-13
196401,8,-6
196501,21,7
196601,3,-11
196701,9,-5
196801,6,-8
196901,17,3
197001,3,-11
197101,23,9
197201,20,6
197301,3,-11
197401,12,-2
197501,20,6
197601,9,-5
197701,1,-13
197801,1,-13
197901,1,-13
198001,16,2
198101,8,-6
198201,12,-2
198301,7,-7
198401,4,-10
198501,3,-11
198601,17,3
198701,9,-5
198801,5,-9
198901,30,16
199001,30,16
199101,6,-8
199201,8,-6
199301,12,-2
199401,14,0
199501,17,3
199601,12,-2
199701,9,-5
199801,33,19
199901,29,15
200001,32,18
200101,7,-7
200201,21,7
200301,7,-7
200401,20,6
200501,29,15
200601,38,24
200701,6,-8
200801,11,-3
200901,17,3
201001,7,-7
201101,9,-5
201201,31,17
201301,19,5
201401,6,-8
201501,5,-9
