Texas, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,447,67
189609,374,-6
189709,339,-41
189809,397,17
189909,359,-21
190009,466,86
190109,374,-6
190209,339,-41
190309,322,-58
190409,410,30
190509,442,62
190609,402,22
190709,425,45
190809,340,-40
190909,373,-7
191009,459,79
191109,520,140
191209,409,29
191309,281,-99
191409,371,-9
191509,392,12
191609,355,-25
191709,350,-30
191809,282,-98
191909,356,-24
192009,420,40
192109,476,96
192209,412,32
192309,390,10
192409,339,-41
192509,444,64
192609,452,72
192709,414,34
192809,329,-51
192909,386,6
193009,427,47
193109,495,115
193209,336,-44
193309,494,114
193409,371,-9
193509,300,-80
193609,413,33
193709,407,27
193809,387,7
193909,459,79
194009,332,-48
194109,415,35
194209,294,-86
194309,328,-52
194409,352,-28
194509,401,21
194609,358,-22
194709,414,34
194809,351,-29
194909,373,-7
195009,359,-21
195109,408,28
195209,367,-13
195309,381,1
195409,477,97
195509,432,52
195609,436,56
195709,326,-54
195809,392,12
195909,416,36
196009,377,-3
196109,359,-21
196209,403,23
196309,416,36
196409,382,2
196509,411,31
196609,333,-47
196709,277,-103
196809,300,-80
196909,372,-8
197009,380,0
197109,350,-30
197209,437,57
197309,363,-17
197409,211,-169
197509,273,-107
197609,329,-51
197709,485,105
197809,387,7
197909,303,-77
198009,450,70
198109,343,-37
198209,396,16
198309,360,-20
198409,316,-64
198509,389,9
198609,436,56
198709,345,-35
198809,387,7
198909,302,-78
199009,401,21
199109,294,-86
199209,378,-2
199309,372,-8
199409,320,-60
199509,377,-3
199609,332,-48
199709,434,54
199809,483,103
199909,375,-5
200009,429,49
200109,328,-52
200209,384,4
200309,312,-68
200409,379,-1
200509,504,124
200609,348,-32
200709,411,31
200809,321,-59
200909,340,-40
201009,421,41
201109,444,64
201209,400,20
201309,458,78
201409,408,28
201509,450,70
