Maryland, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,236,49
189606,154,-33
189706,115,-72
189806,214,27
189906,247,60
190006,200,13
190106,176,-11
190206,164,-23
190306,70,-117
190406,151,-36
190506,164,-23
190606,206,19
190706,52,-135
190806,166,-21
190906,198,11
191006,108,-79
191106,192,5
191206,133,-54
191306,182,-5
191406,214,27
191506,114,-73
191606,87,-100
191706,167,-20
191806,135,-52
191906,203,16
192006,150,-37
192106,227,40
192206,241,54
192306,265,78
192406,141,-46
192506,323,136
192606,102,-85
192706,86,-101
192806,134,-53
192906,170,-17
193006,224,37
193106,185,-2
193206,186,-1
193306,234,47
193406,296,109
193506,174,-13
193606,184,-3
193706,234,47
193806,167,-20
193906,238,51
194006,201,14
194106,175,-12
194206,211,24
194306,353,166
194406,230,43
194506,199,12
194606,146,-41
194706,138,-49
194806,182,-5
194906,223,36
195006,168,-19
195106,175,-12
195206,265,78
195306,204,17
195406,203,16
195506,103,-84
195606,188,1
195706,260,73
195806,110,-77
195906,217,30
196006,173,-14
196106,169,-18
196206,191,4
196306,175,-12
196406,209,22
196506,150,-37
196606,200,13
196706,186,-1
196806,177,-10
196906,233,46
197006,184,-3
197106,217,30
197206,96,-91
197306,252,65
197406,110,-77
197506,191,4
197606,236,49
197706,131,-56
197806,183,-4
197906,112,-75
198006,131,-56
198106,234,47
198206,127,-60
198306,193,6
198406,228,41
198506,148,-39
198606,239,52
198706,262,75
198806,211,24
198906,251,64
199006,202,15
199106,239,52
199206,122,-65
199306,195,8
199406,301,114
199506,202,15
199606,235,48
199706,155,-32
199806,182,-5
199906,205,18
200006,228,41
200106,233,46
200206,252,65
200306,151,-36
200406,186,-1
200506,253,66
200606,216,29
200706,245,58
200806,291,104
200906,192,5
201006,346,159
201106,284,97
201206,215,28
201306,240,53
201406,228,41
201506,252,65
