Texas, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,108,-4
189604,155,43
189704,107,-5
189804,79,-33
189904,84,-28
190004,97,-15
190104,73,-39
190204,167,55
190304,90,-22
190404,114,2
190504,97,-15
190604,122,10
190704,78,-34
190804,147,35
190904,106,-6
191004,90,-22
191104,116,4
191204,103,-9
191304,73,-39
191404,80,-32
191504,91,-21
191604,77,-35
191704,89,-23
191804,93,-19
191904,101,-11
192004,94,-18
192104,78,-34
192204,136,24
192304,111,-1
192404,96,-16
192504,219,107
192604,54,-58
192704,173,61
192804,50,-62
192904,178,66
193004,171,59
193104,40,-72
193204,123,11
193304,127,15
193404,137,25
193504,126,14
193604,79,-33
193704,108,-4
193804,85,-27
193904,118,6
194004,99,-13
194104,100,-12
194204,100,-12
194304,158,46
194404,105,-7
194504,100,-12
194604,160,48
194704,111,-1
194804,182,70
194904,62,-50
195004,93,-19
195104,94,-18
195204,63,-49
195304,102,-10
195404,187,75
195504,177,65
195604,101,-11
195704,86,-26
195804,91,-21
195904,66,-46
196004,134,22
196104,79,-33
196204,95,-17
196304,217,105
196404,150,38
196504,176,64
196604,115,3
196704,242,130
196804,107,-5
196904,118,6
197004,129,17
197104,95,-17
197204,180,68
197304,49,-63
197404,120,8
197504,96,-16
197604,113,1
197704,94,-18
197804,135,23
197904,108,-4
198004,70,-42
198104,185,73
198204,92,-20
198304,53,-59
198404,116,4
198504,139,27
198604,166,54
198704,72,-40
198804,96,-16
198904,120,8
199004,104,-8
199104,164,52
199204,97,-15
199304,68,-44
199404,110,-2
199504,93,-19
199604,95,-17
199704,44,-68
199804,79,-33
199904,167,55
200004,118,6
200104,166,54
200204,198,86
200304,131,19
200404,106,-6
200504,100,-12
200604,231,119
200704,64,-48
200804,120,8
200904,109,-3
201004,113,1
201104,219,107
201204,208,96
201304,75,-37
201404,115,3
201504,157,45
