Massachusetts, Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,80,-90
189607,165,-5
189707,168,-2
189807,163,-7
189907,152,-18
190007,187,17
190107,216,46
190207,72,-98
190307,132,-38
190407,137,-33
190507,176,6
190607,135,-35
190707,155,-15
190807,209,39
190907,104,-66
191007,199,29
191107,248,78
191207,165,-5
191307,173,3
191407,74,-96
191507,109,-61
191607,161,-9
191707,188,18
191807,132,-38
191907,194,24
192007,111,-59
192107,212,42
192207,131,-39
192307,85,-85
192407,150,-20
192507,117,-53
192607,119,-51
192707,145,-25
192807,176,6
192907,149,-21
193007,159,-11
193107,209,39
193207,123,-47
193307,134,-36
193407,202,32
193507,205,35
193607,126,-44
193707,176,6
193807,167,-3
193907,147,-23
194007,149,-21
194107,158,-12
194207,141,-29
194307,188,18
194407,210,40
194507,155,-15
194607,132,-38
194707,209,39
194807,189,19
194907,279,109
195007,160,-10
195107,182,12
195207,280,110
195307,162,-8
195407,123,-47
195507,283,113
195607,110,-60
195707,164,-6
195807,158,-12
195907,196,26
196007,129,-41
196107,150,-20
196207,83,-87
196307,199,29
196407,167,-3
196507,126,-44
196607,192,22
196707,191,21
196807,209,39
196907,129,-41
197007,202,32
197107,173,3
197207,176,6
197307,204,34
197407,169,-1
197507,233,63
197607,140,-30
197707,175,5
197807,139,-31
197907,219,49
198007,216,46
198107,197,27
198207,174,4
198307,219,49
198407,167,-3
198507,175,5
198607,130,-40
198707,187,17
198807,224,54
198907,163,-7
199007,189,19
199107,178,8
199207,96,-74
199307,200,30
199407,293,123
199507,251,81
199607,146,-24
199707,176,6
199807,192,22
199907,269,99
200007,104,-66
200107,107,-63
200207,217,47
200307,213,43
200407,149,-21
200507,212,42
200607,273,103
200707,188,18
200807,249,79
200907,115,-55
201007,302,132
201107,259,89
201207,262,92
201307,328,158
201407,216,46
201507,210,40
