Pennsylvania, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,172,63
189606,90,-19
189706,57,-52
189806,149,40
189906,165,56
190006,141,32
190106,124,15
190206,79,-30
190306,37,-72
190406,101,-8
190506,105,-4
190606,139,30
190706,30,-79
190806,118,9
190906,117,8
191006,57,-52
191106,108,-1
191206,68,-41
191306,109,0
191406,108,-1
191506,64,-45
191606,38,-71
191706,91,-18
191806,74,-35
191906,178,69
192006,97,-12
192106,143,34
192206,146,37
192306,173,64
192406,66,-43
192506,200,91
192606,42,-67
192706,39,-70
192806,60,-49
192906,102,-7
193006,136,27
193106,112,3
193206,110,1
193306,161,52
193406,210,101
193506,96,-13
193606,110,1
193706,139,30
193806,90,-19
193906,146,37
194006,97,-12
194106,111,2
194206,124,15
194306,236,127
194406,140,31
194506,100,-9
194606,75,-34
194706,75,-34
194806,97,-12
194906,171,62
195006,83,-26
195106,98,-11
195206,161,52
195306,128,19
195406,123,14
195506,58,-51
195606,113,4
195706,169,60
195806,40,-69
195906,123,14
196006,95,-14
196106,93,-16
196206,120,11
196306,102,-7
196406,104,-5
196506,84,-25
196606,131,22
196706,151,42
196806,91,-18
196906,132,23
197006,93,-16
197106,143,34
197206,43,-66
197306,162,53
197406,61,-48
197506,108,-1
197606,161,52
197706,64,-45
197806,94,-15
197906,68,-41
198006,61,-48
198106,120,11
198206,56,-53
198306,110,1
198406,131,22
198506,59,-50
198606,113,4
198706,163,54
198806,98,-11
198906,134,25
199006,111,2
199106,156,47
199206,62,-47
199306,111,2
199406,182,73
199506,130,21
199606,143,34
199706,96,-13
199806,99,-10
199906,135,26
200006,131,22
200106,133,24
200206,145,36
200306,71,-38
200406,93,-16
200506,190,81
200606,115,6
200706,150,41
200806,179,70
200906,92,-17
201006,201,92
201106,159,50
201206,119,10
201306,146,37
201406,141,32
201506,139,30
