South Carolina, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,388,31
189606,373,16
189706,431,74
189806,441,84
189906,437,80
190006,348,-9
190106,354,-3
190206,393,36
190306,262,-95
190406,340,-17
190506,402,45
190606,384,27
190706,293,-64
190806,330,-27
190906,392,35
191006,278,-79
191106,457,100
191206,300,-57
191306,342,-15
191406,462,105
191506,306,-51
191606,321,-36
191706,340,-17
191806,351,-6
191906,331,-26
192006,354,-3
192106,411,54
192206,390,33
192306,354,-3
192406,402,45
192506,443,86
192606,362,5
192706,309,-48
192806,329,-28
192906,303,-54
193006,300,-57
193106,384,27
193206,382,25
193306,410,53
193406,419,62
193506,388,31
193606,379,22
193706,418,61
193806,310,-47
193906,459,102
194006,391,34
194106,366,9
194206,407,50
194306,480,123
194406,454,97
194506,407,50
194606,339,-18
194706,334,-23
194806,394,37
194906,356,-1
195006,398,41
195106,378,21
195206,508,151
195306,398,41
195406,396,39
195506,246,-111
195606,369,12
195706,371,14
195806,359,2
195906,351,-6
196006,350,-7
196106,290,-67
196206,324,-33
196306,318,-39
196406,395,38
196506,272,-85
196606,251,-106
196706,257,-100
196806,324,-33
196906,395,38
197006,341,-16
197106,377,20
197206,228,-129
197306,339,-18
197406,276,-81
197506,338,-19
197606,266,-91
197706,379,22
197806,365,8
197906,251,-106
198006,336,-21
198106,471,114
198206,347,-10
198306,295,-62
198406,368,11
198506,373,16
198606,441,84
198706,381,24
198806,308,-49
198906,376,19
199006,374,17
199106,346,-11
199206,275,-82
199306,386,29
199406,390,33
199506,311,-46
199606,349,-8
199706,252,-105
199806,450,93
199906,309,-48
200006,400,43
200106,354,-3
200206,382,25
200306,323,-34
200406,398,41
200506,332,-25
200606,341,-16
200706,364,7
200806,448,91
200906,418,61
201006,497,140
201106,470,113
201206,292,-65
201306,367,10
201406,397,40
201506,454,97
