New Mexico, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,172,-47
189608,220,1
189708,209,-10
189808,227,8
189908,228,9
190008,237,18
190108,277,58
190208,221,2
190308,255,36
190408,202,-17
190508,226,7
190608,151,-68
190708,202,-17
190808,172,-47
190908,209,-10
191008,262,43
191108,242,23
191208,199,-20
191308,216,-3
191408,194,-25
191508,158,-61
191608,180,-39
191708,214,-5
191808,205,-14
191908,240,21
192008,154,-65
192108,199,-20
192208,281,62
192308,176,-43
192408,252,33
192508,167,-52
192608,216,-3
192708,191,-28
192808,161,-58
192908,188,-31
193008,221,2
193108,178,-41
193208,224,5
193308,208,-11
193408,287,68
193508,224,5
193608,242,23
193708,284,65
193808,237,18
193908,209,-10
194008,197,-22
194108,190,-29
194208,199,-20
194308,300,81
194408,236,17
194508,266,47
194608,233,14
194708,226,7
194808,253,34
194908,204,-15
195008,193,-26
195108,254,35
195208,290,71
195308,230,11
195408,217,-2
195508,224,5
195608,197,-22
195708,205,-14
195808,268,49
195908,224,5
196008,252,33
196108,213,-6
196208,256,37
196308,207,-12
196408,236,17
196508,198,-21
196608,200,-19
196708,168,-51
196808,154,-65
196908,296,77
197008,247,28
197108,164,-55
197208,177,-42
197308,204,-15
197408,153,-66
197508,205,-14
197608,191,-28
197708,274,55
197808,201,-18
197908,162,-57
198008,233,14
198108,193,-26
198208,251,32
198308,262,43
198408,189,-30
198508,236,17
198608,240,21
198708,190,-29
198808,192,-27
198908,204,-15
199008,156,-63
199108,199,-20
199208,200,-19
199308,211,-8
199408,303,84
199508,303,84
199608,225,6
199708,243,24
199808,246,27
199908,223,4
200008,276,57
200108,233,14
200208,281,62
200308,298,79
200408,182,-37
200508,226,7
200608,196,-23
200708,303,84
200808,221,2
200908,258,39
201008,263,44
201108,364,145
201208,306,87
201308,253,34
201408,201,-18
201508,299,80
