Mississippi, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,403,4
189606,403,4
189706,473,74
189806,461,62
189906,441,42
190006,372,-27
190106,456,57
190206,489,90
190306,270,-129
190406,402,3
190506,438,39
190606,432,33
190706,347,-52
190806,406,7
190906,407,8
191006,330,-69
191106,490,91
191206,305,-94
191306,387,-12
191406,543,144
191506,415,16
191606,366,-33
191706,389,-10
191806,478,79
191906,385,-14
192006,360,-39
192106,448,49
192206,420,21
192306,362,-37
192406,466,67
192506,476,77
192606,393,-6
192706,403,4
192806,351,-48
192906,383,-16
193006,371,-28
193106,417,18
193206,446,47
193306,393,-6
193406,455,56
193506,348,-51
193606,473,74
193706,435,36
193806,367,-32
193906,420,21
194006,351,-48
194106,407,8
194206,409,10
194306,499,100
194406,473,74
194506,399,0
194606,344,-55
194706,391,-8
194806,444,45
194906,411,12
195006,392,-7
195106,415,16
195206,520,121
195306,535,136
195406,453,54
195506,295,-104
195606,351,-48
195706,411,12
195806,395,-4
195906,365,-34
196006,410,11
196106,296,-103
196206,376,-23
196306,419,20
196406,415,16
196506,369,-30
196606,326,-73
196706,389,-10
196806,401,2
196906,408,9
197006,357,-42
197106,419,20
197206,365,-34
197306,407,8
197406,284,-115
197506,366,-33
197606,310,-89
197706,464,65
197806,408,9
197906,348,-51
198006,412,13
198106,458,59
198206,375,-24
198306,311,-88
198406,381,-18
198506,402,3
198606,433,34
198706,381,-18
198806,380,-19
198906,350,-49
199006,420,21
199106,401,2
199206,337,-62
199306,398,-1
199406,418,19
199506,330,-69
199606,378,-21
199706,332,-67
199806,498,99
199906,401,2
200006,393,-6
200106,348,-51
200206,384,-15
200306,355,-44
200406,376,-23
200506,382,-17
200606,411,12
200706,426,27
200806,427,28
200906,458,59
201006,512,113
201106,516,117
201206,397,-2
201306,418,19
201406,406,7
201506,423,24
