Michigan, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,30,2
189605,97,69
189705,10,-18
189805,22,-6
189905,33,5
190005,32,4
190105,16,-12
190205,27,-1
190305,40,12
190405,22,-6
190505,16,-12
190605,21,-7
190705,2,-26
190805,27,-1
190905,14,-14
191005,7,-21
191105,84,56
191205,28,0
191305,20,-8
191405,33,5
191505,7,-21
191605,20,-8
191705,2,-26
191805,57,29
191905,12,-16
192005,12,-16
192105,42,14
192205,57,29
192305,11,-17
192405,4,-24
192505,8,-20
192605,20,-8
192705,14,-14
192805,19,-9
192905,12,-16
193005,32,4
193105,17,-11
193205,27,-1
193305,33,5
193405,52,24
193505,6,-22
193605,54,26
193705,25,-3
193805,24,-4
193905,46,18
194005,13,-15
194105,48,20
194205,33,5
194305,14,-14
194405,57,29
194505,5,-23
194605,13,-15
194705,8,-20
194805,12,-16
194905,36,8
195005,25,-3
195105,34,6
195205,16,-12
195305,32,4
195405,9,-19
195505,42,14
195605,15,-13
195705,16,-12
195805,21,-7
195905,59,31
196005,19,-9
196105,11,-17
196205,76,48
196305,14,-14
196405,54,26
196505,58,30
196605,6,-22
196705,7,-21
196805,11,-17
196905,20,-8
197005,40,12
197105,15,-13
197205,36,8
197305,11,-17
197405,11,-17
197505,62,34
197605,12,-16
197705,84,56
197805,29,1
197905,18,-10
198005,32,4
198105,15,-13
198205,81,53
198305,9,-19
198405,9,-19
198505,45,17
198605,34,6
198705,61,33
198805,44,16
198905,17,-11
199005,14,-14
199105,92,64
199205,22,-6
199305,26,-2
199405,15,-13
199505,20,-8
199605,14,-14
199705,2,-26
199805,88,60
199905,49,21
200005,43,15
200105,42,14
200205,9,-19
200305,15,-13
200405,34,6
200505,13,-15
200605,33,5
200705,52,24
200805,14,-14
200905,26,-2
201005,52,24
201105,34,6
201205,72,44
201305,55,27
201405,32,4
201505,61,33
