Indiana, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,275,42
189608,235,2
189708,180,-53
189808,249,16
189908,309,76
190008,384,151
190108,275,42
190208,175,-58
190308,196,-37
190408,169,-64
190508,249,16
190608,308,75
190708,175,-58
190808,241,8
190908,267,34
191008,186,-47
191108,232,-1
191208,179,-54
191308,300,67
191408,265,32
191508,102,-131
191608,307,74
191708,194,-39
191808,370,137
191908,210,-23
192008,181,-52
192108,218,-15
192208,238,5
192308,209,-24
192408,220,-13
192508,238,5
192608,287,54
192708,95,-138
192808,264,31
192908,175,-58
193008,251,18
193108,247,14
193208,246,13
193308,209,-24
193408,243,10
193508,278,45
193608,399,166
193708,309,76
193808,304,71
193908,227,-6
194008,283,50
194108,262,29
194208,210,-23
194308,275,42
194408,276,43
194508,214,-19
194608,132,-101
194708,418,185
194808,235,2
194908,247,14
195008,164,-69
195108,197,-36
195208,217,-16
195308,257,24
195408,243,10
195508,327,94
195608,234,1
195708,225,-8
195808,207,-26
195908,350,117
196008,261,28
196108,209,-24
196208,218,-15
196308,147,-86
196408,195,-38
196508,174,-59
196608,183,-50
196708,134,-99
196808,257,24
196908,213,-20
197008,225,-8
197108,166,-67
197208,214,-19
197308,247,14
197408,217,-16
197508,295,62
197608,155,-78
197708,211,-22
197808,219,-14
197908,201,-32
198008,331,98
198108,204,-29
198208,164,-69
198308,370,137
198408,254,21
198508,182,-51
198608,150,-83
198708,254,21
198808,340,107
198908,206,-27
199008,187,-46
199108,260,27
199208,123,-110
199308,268,35
199408,156,-77
199508,394,161
199608,241,8
199708,164,-69
199808,269,36
199908,196,-37
200008,218,-15
200108,272,39
200208,297,64
200308,270,37
200408,139,-94
200508,298,65
200608,262,29
200708,354,121
200808,198,-35
200908,186,-47
201008,323,90
201108,250,17
201208,217,-16
201308,208,-25
201408,229,-4
201508,185,-48
