New Hampshire, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,57,-14
189608,78,7
189708,49,-22
189808,97,26
189908,59,-12
190008,88,17
190108,88,17
190208,25,-46
190308,8,-63
190408,35,-36
190508,32,-39
190608,113,42
190708,36,-35
190808,38,-33
190908,37,-34
191008,39,-32
191108,54,-17
191208,21,-50
191308,57,-14
191408,58,-13
191508,37,-34
191608,85,14
191708,99,28
191808,76,5
191908,33,-38
192008,114,43
192108,35,-36
192208,59,-12
192308,32,-39
192408,59,-12
192508,54,-17
192608,54,-17
192708,21,-50
192808,118,47
192908,31,-40
193008,39,-32
193108,62,-9
193208,89,18
193308,61,-10
193408,26,-45
193508,86,15
193608,58,-13
193708,162,91
193808,111,40
193908,132,61
194008,46,-25
194108,35,-36
194208,61,-10
194308,46,-25
194408,126,55
194508,62,-9
194608,30,-41
194708,133,62
194808,106,35
194908,118,47
195008,67,-4
195108,57,-14
195208,83,12
195308,57,-14
195408,33,-38
195508,147,76
195608,55,-16
195708,31,-40
195808,71,0
195908,123,52
196008,71,0
196108,77,6
196208,61,-10
196308,38,-33
196408,14,-57
196508,76,5
196608,73,2
196708,84,13
196808,48,-23
196908,112,41
197008,102,31
197108,79,8
197208,52,-19
197308,158,87
197408,86,15
197508,79,8
197608,62,-9
197708,76,5
197808,86,15
197908,64,-7
198008,108,37
198108,61,-10
198208,38,-33
198308,104,33
198408,128,57
198508,62,-9
198608,52,-19
198708,42,-29
198808,139,68
198908,69,-2
199008,115,44
199108,113,42
199208,55,-16
199308,106,35
199408,62,-9
199508,89,18
199608,99,28
199708,73,2
199808,112,41
199908,78,7
200008,59,-12
200108,160,89
200208,157,86
200308,139,68
200408,99,28
200508,136,65
200608,68,-3
200708,98,27
200808,64,-7
200908,122,51
201008,105,34
201108,106,35
201208,151,80
201308,79,8
201408,62,-9
201508,132,61
