Maryland, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,163,57
189609,80,-26
189709,90,-16
189809,144,38
189909,63,-43
190009,216,110
190109,89,-17
190209,67,-39
190309,77,-29
190409,85,-21
190509,87,-19
190609,168,62
190709,111,5
190809,65,-41
190909,66,-40
191009,137,31
191109,132,26
191209,130,24
191309,79,-27
191409,52,-54
191509,129,23
191609,58,-48
191709,28,-78
191809,36,-70
191909,107,1
192009,105,-1
192109,226,120
192209,127,21
192309,120,14
192409,38,-68
192509,196,90
192609,107,1
192709,105,-1
192809,39,-67
192909,118,12
193009,244,138
193109,219,113
193209,118,12
193309,166,60
193409,128,22
193509,61,-45
193609,138,32
193709,49,-57
193809,74,-32
193909,124,18
194009,54,-52
194109,155,49
194209,116,10
194309,75,-31
194409,119,13
194509,171,65
194609,107,1
194709,110,4
194809,89,-17
194909,56,-50
195009,53,-53
195109,103,-3
195209,88,-18
195309,100,-6
195409,147,41
195509,96,-10
195609,60,-46
195709,131,25
195809,80,-26
195909,155,49
196009,112,6
196109,217,111
196209,48,-58
196309,44,-62
196409,90,-16
196509,138,32
196609,62,-44
196709,52,-54
196809,106,0
196909,92,-14
197009,179,73
197109,148,42
197209,115,9
197309,143,37
197409,76,-30
197509,53,-53
197609,75,-31
197709,154,48
197809,116,10
197909,96,-10
198009,183,77
198109,77,-29
198209,85,-21
198309,121,15
198409,58,-48
198509,121,15
198609,114,8
198709,127,21
198809,74,-32
198909,114,8
199009,84,-22
199109,104,-2
199209,88,-18
199309,115,9
199409,81,-25
199509,105,-1
199609,106,0
199709,90,-16
199809,216,110
199909,110,4
200009,79,-27
200109,81,-25
200209,151,45
200309,118,12
200409,140,34
200509,203,97
200609,72,-34
200709,166,60
200809,144,38
200909,96,-10
201009,176,70
201109,142,36
201209,124,18
201309,89,-17
201409,126,20
201509,198,92
