Wisconsin, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,131,36
189606,119,24
189706,63,-32
189806,119,24
189906,113,18
190006,88,-7
190106,125,30
190206,44,-51
190306,44,-51
190406,71,-24
190506,74,-21
190606,80,-15
190706,68,-27
190806,74,-21
190906,84,-11
191006,114,19
191106,176,81
191206,60,-35
191306,125,30
191406,80,-15
191506,30,-65
191606,28,-67
191706,35,-60
191806,75,-20
191906,173,78
192006,111,16
192106,192,97
192206,119,24
192306,158,63
192406,43,-52
192506,112,17
192606,34,-61
192706,50,-45
192806,32,-63
192906,52,-43
193006,103,8
193106,165,70
193206,141,46
193306,251,156
193406,190,95
193506,38,-57
193606,64,-31
193706,73,-22
193806,77,-18
193906,119,24
194006,90,-5
194106,110,15
194206,88,-7
194306,142,47
194406,137,42
194506,31,-64
194606,75,-20
194706,46,-49
194806,77,-18
194906,154,59
195006,84,-11
195106,44,-51
195206,125,30
195306,128,33
195406,138,43
195506,72,-23
195606,142,47
195706,90,-5
195806,32,-63
195906,118,23
196006,56,-39
196106,96,1
196206,84,-11
196306,123,28
196406,106,11
196506,71,-24
196606,111,16
196706,102,7
196806,90,-5
196906,22,-73
197006,107,12
197106,156,61
197206,56,-39
197306,127,32
197406,51,-44
197506,99,4
197606,130,35
197706,69,-26
197806,86,-9
197906,80,-15
198006,71,-24
198106,103,8
198206,29,-66
198306,101,6
198406,120,25
198506,59,-36
198606,83,-12
198706,172,77
198806,168,73
198906,75,-20
199006,99,4
199106,159,64
199206,53,-42
199306,57,-38
199406,128,33
199506,162,67
199606,89,-6
199706,107,12
199806,90,-5
199906,113,18
200006,81,-14
200106,87,-8
200206,126,31
200306,67,-28
200406,62,-33
200506,194,99
200606,94,-1
200706,130,35
200806,103,8
200906,83,-12
201006,116,21
201106,92,-3
201206,148,53
201306,87,-8
201406,119,24
201506,76,-19
