Alabama, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,156,-29
189605,321,136
189705,144,-41
189805,269,84
189905,331,146
190005,201,16
190105,176,-9
190205,320,135
190305,164,-21
190405,167,-18
190505,281,96
190605,164,-21
190705,130,-55
190805,211,26
190905,144,-41
191005,138,-47
191105,229,44
191205,212,27
191305,200,15
191405,197,12
191505,276,91
191605,237,52
191705,86,-99
191805,234,49
191905,142,-43
192005,178,-7
192105,163,-22
192205,204,19
192305,146,-39
192405,108,-77
192505,150,-35
192605,166,-19
192705,228,43
192805,148,-37
192905,190,5
193005,215,30
193105,119,-66
193205,150,-35
193305,307,122
193405,197,12
193505,209,24
193605,237,52
193705,216,31
193805,216,31
193905,165,-20
194005,120,-65
194105,233,48
194205,180,-5
194305,250,65
194405,226,41
194505,130,-55
194605,160,-25
194705,151,-34
194805,191,6
194905,219,34
195005,259,74
195105,170,-15
195205,204,19
195305,265,80
195405,90,-95
195505,248,63
195605,247,62
195705,210,25
195805,184,-1
195905,235,50
196005,118,-67
196105,118,-67
196205,311,126
196305,201,16
196405,195,10
196505,232,47
196605,150,-35
196705,139,-46
196805,145,-40
196905,164,-21
197005,184,-1
197105,100,-85
197205,140,-45
197305,120,-65
197405,207,22
197505,222,37
197605,79,-106
197705,214,29
197805,165,-20
197905,154,-31
198005,170,-15
198105,111,-74
198205,211,26
198305,135,-50
198405,140,-45
198505,180,-5
198605,200,15
198705,262,77
198805,131,-54
198905,135,-50
199005,152,-33
199105,250,65
199205,124,-61
199305,141,-44
199405,131,-54
199505,215,30
199605,240,55
199705,108,-77
199805,256,71
199905,158,-27
200005,267,82
200105,181,-4
200205,168,-17
200305,204,19
200405,241,56
200505,130,-55
200605,175,-10
200705,201,16
200805,170,-15
200905,197,12
201005,249,64
201105,166,-19
201205,260,75
201305,128,-57
201405,172,-13
201505,213,28
