Nebraska, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,164,-32
189606,170,-26
189706,164,-32
189806,198,2
189906,190,-6
190006,209,13
190106,229,33
190206,106,-90
190306,91,-105
190406,121,-75
190506,174,-22
190606,139,-57
190706,140,-56
190806,132,-64
190906,167,-29
191006,175,-21
191106,338,142
191206,110,-86
191306,213,17
191406,254,58
191506,95,-101
191606,104,-92
191706,139,-57
191806,287,91
191906,192,-4
192006,183,-13
192106,280,84
192206,253,57
192306,176,-20
192406,128,-68
192506,231,35
192606,156,-40
192706,141,-55
192806,87,-109
192906,149,-47
193006,159,-37
193106,341,145
193206,210,14
193306,405,209
193406,361,165
193506,121,-75
193606,252,56
193706,180,-16
193806,206,10
193906,229,33
194006,225,29
194106,175,-21
194206,168,-28
194306,204,8
194406,202,6
194506,70,-126
194606,233,37
194706,120,-76
194806,171,-25
194906,210,14
195006,177,-19
195106,85,-111
195206,346,150
195306,307,111
195406,253,57
195506,121,-75
195606,313,117
195706,154,-42
195806,146,-50
195906,246,50
196006,144,-52
196106,180,-16
196206,167,-29
196306,294,98
196406,173,-23
196506,169,-27
196606,183,-13
196706,136,-60
196806,237,41
196906,111,-85
197006,222,26
197106,292,96
197206,211,15
197306,223,27
197406,164,-32
197506,165,-31
197606,196,0
197706,255,59
197806,215,19
197906,185,-11
198006,243,47
198106,249,53
198206,105,-91
198306,161,-35
198406,220,24
198506,142,-54
198606,271,75
198706,265,69
198806,345,149
198906,143,-53
199006,246,50
199106,282,86
199206,126,-70
199306,139,-57
199406,249,53
199506,167,-29
199606,215,19
199706,217,21
199806,144,-52
199906,154,-42
200006,182,-14
200106,188,-8
200206,327,131
200306,145,-51
200406,133,-63
200506,251,55
200606,255,59
200706,201,5
200806,189,-7
200906,168,-28
201006,227,31
201106,196,0
201206,273,77
201306,193,-3
201406,199,3
201506,206,10
