Alabama, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,360,-1
189606,355,-6
189706,465,104
189806,446,85
189906,437,76
190006,329,-32
190106,403,42
190206,463,102
190306,243,-118
190406,375,14
190506,408,47
190606,404,43
190706,304,-57
190806,372,11
190906,378,17
191006,296,-65
191106,450,89
191206,286,-75
191306,368,7
191406,526,165
191506,384,23
191606,340,-21
191706,356,-5
191806,419,58
191906,387,26
192006,339,-22
192106,456,95
192206,390,29
192306,343,-18
192406,422,61
192506,460,99
192606,357,-4
192706,368,7
192806,308,-53
192906,345,-16
193006,338,-23
193106,413,52
193206,393,32
193306,378,17
193406,416,55
193506,316,-45
193606,450,89
193706,426,65
193806,330,-31
193906,387,26
194006,329,-32
194106,378,17
194206,381,20
194306,471,110
194406,445,84
194506,372,11
194606,310,-51
194706,333,-28
194806,399,38
194906,357,-4
195006,353,-8
195106,387,26
195206,503,142
195306,460,99
195406,397,36
195506,236,-125
195606,322,-39
195706,385,24
195806,372,11
195906,329,-32
196006,358,-3
196106,254,-107
196206,343,-18
196306,344,-17
196406,391,30
196506,309,-52
196606,271,-90
196706,325,-36
196806,357,-4
196906,366,5
197006,294,-67
197106,379,18
197206,283,-78
197306,345,-16
197406,240,-121
197506,322,-39
197606,276,-85
197706,403,42
197806,372,11
197906,295,-66
198006,355,-6
198106,429,68
198206,319,-42
198306,274,-87
198406,352,-9
198506,358,-3
198606,405,44
198706,349,-12
198806,352,-9
198906,313,-48
199006,363,2
199106,344,-17
199206,281,-80
199306,360,-1
199406,374,13
199506,294,-67
199606,341,-20
199706,258,-103
199806,450,89
199906,340,-21
200006,361,0
200106,313,-48
200206,355,-6
200306,299,-62
200406,341,-20
200506,337,-24
200606,374,13
200706,406,45
200806,398,37
200906,416,55
201006,463,102
201106,470,109
201206,350,-11
201306,377,16
201406,373,12
201506,405,44
