Tennessee, Cooling Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,0,-2
189601,0,-2
189701,0,-2
189801,6,4
189901,0,-2
190001,0,-2
190101,0,-2
190201,0,-2
190301,0,-2
190401,0,-2
190501,0,-2
190601,0,-2
190701,15,13
190801,0,-2
190901,3,1
191001,0,-2
191101,7,5
191201,0,-2
191301,10,8
191401,2,0
191501,0,-2
191601,10,8
191701,0,-2
191801,0,-2
191901,0,-2
192001,0,-2
192101,4,2
192201,0,-2
192301,8,6
192401,0,-2
192501,0,-2
192601,0,-2
192701,0,-2
192801,0,-2
192901,0,-2
193001,0,-2
193101,0,-2
193201,12,10
193301,11,9
193401,0,-2
193501,0,-2
193601,0,-2
193701,16,14
193801,0,-2
193901,4,2
194001,0,-2
194101,0,-2
194201,0,-2
194301,0,-2
194401,0,-2
194501,0,-2
194601,0,-2
194701,6,4
194801,0,-2
194901,12,10
195001,20,18
195101,0,-2
195201,10,8
195301,9,7
195401,0,-2
195501,0,-2
195601,0,-2
195701,0,-2
195801,0,-2
195901,0,-2
196001,0,-2
196101,0,-2
196201,0,-2
196301,0,-2
196401,0,-2
196501,0,-2
196601,0,-2
196701,0,-2
196801,0,-2
196901,0,-2
197001,0,-2
197101,0,-2
197201,0,-2
197301,0,-2
197401,10,8
197501,2,0
197601,0,-2
197701,0,-2
197801,0,-2
197901,0,-2
198001,0,-2
198101,0,-2
198201,0,-2
198301,0,-2
198401,0,-2
198501,0,-2
198601,0,-2
198701,0,-2
198801,0,-2
198901,8,6
199001,10,8
199101,0,-2
199201,0,-2
199301,3,1
199401,0,-2
199501,0,-2
199601,0,-2
199701,0,-2
199801,6,4
199901,6,4
200001,0,-2
200101,0,-2
200201,0,-2
200301,0,-2
200401,0,-2
200501,8,6
200601,12,10
200701,0,-2
200801,0,-2
200901,0,-2
201001,0,-2
201101,0,-2
201201,6,4
201301,0,-2
201401,0,-2
201501,0,-2
