Kentucky, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,302,68
189606,220,-14
189706,235,1
189806,307,73
189906,307,73
190006,257,23
190106,299,65
190206,232,-2
190306,122,-112
190406,227,-7
190506,276,42
190606,252,18
190706,156,-78
190806,231,-3
190906,271,37
191006,152,-82
191106,293,59
191206,163,-71
191306,279,45
191406,377,143
191506,194,-40
191606,156,-78
191706,172,-62
191806,241,7
191906,323,89
192006,195,-39
192106,351,117
192206,283,49
192306,247,13
192406,253,19
192506,328,94
192606,158,-76
192706,151,-83
192806,136,-98
192906,187,-47
193006,227,-7
193106,289,55
193206,276,42
193306,333,99
193406,360,126
193506,157,-77
193606,311,77
193706,264,30
193806,190,-44
193906,292,58
194006,241,7
194106,271,37
194206,282,48
194306,366,132
194406,358,124
194506,189,-45
194606,235,1
194706,207,-27
194806,252,18
194906,280,46
195006,197,-37
195106,233,-1
195206,399,165
195306,339,105
195406,288,54
195506,112,-122
195606,224,-10
195706,264,30
195806,170,-64
195906,210,-24
196006,198,-36
196106,152,-82
196206,216,-18
196306,212,-22
196406,260,26
196506,207,-27
196606,192,-42
196706,207,-27
196806,216,-18
196906,229,-5
197006,200,-34
197106,284,50
197206,133,-101
197306,254,20
197406,118,-116
197506,226,-8
197606,187,-47
197706,204,-30
197806,235,1
197906,188,-46
198006,189,-45
198106,264,30
198206,137,-97
198306,199,-35
198406,295,61
198506,188,-46
198606,268,34
198706,282,48
198806,233,-1
198906,201,-33
199006,222,-12
199106,276,42
199206,138,-96
199306,211,-23
199406,288,54
199506,220,-14
199606,230,-4
199706,168,-66
199806,257,23
199906,260,26
200006,249,15
200106,192,-42
200206,282,48
200306,137,-97
200406,222,-12
200506,274,40
200606,199,-35
200706,266,32
200806,282,48
200906,268,34
201006,361,127
201106,276,42
201206,232,-2
201306,243,9
201406,276,42
201506,276,42
